DATE,TIME,LDGL,LDGR,FPHASE,HEIGHT,ALTSTDC,ALTQNH,TAT,CAS,GS,VLS,MACH,HEAD,WINDIR,WINSPD,LATP,LONP,LONCORR,LATCORR,Delta_D,ACCUM_D,TDD,e_p,e_c,e_tot,H_GEOM_REF_m,H_GEOM_REF_ft,SAT,theta,sigma,TAS,WIND_COMP,e_p_ref,e_c_REF,E_TOT_ref,e_ref_inf,e_ref_supp,FLAG_INF,FLAG_SUP,energy_state,COLOR
09/2021,12:45:05,AIR,AIR,APPROACH,4852,8004,8004.0,14.75,181,204,152.6,0.316,107,166.64,7,-15.882283,-48.13649,-48.141389000000004,-15.879388999999998,0.0,0.0,13.7,14.5,5.5,20.0,1374.1,7959.14728,14.5,0.9983,0.9928,153.2,3.5,13.6,3.5,17.1,13.7,20.5,0,0,ON PATH,blue
09/2021,12:45:06,AIR,AIR,APPROACH,4820,7972,7972.0,15.0,181,204,152.6,0.315,107,165.59,7,-15.882439,-48.135269,-48.140168,-15.879544999999998,0.07,0.1,13.6,14.4,5.5,19.9,1364.1,7926.33928,14.7,0.999,0.9958,152.9,3.6,13.5,3.5,17.0,13.6,20.4,0,0,ON PATH,blue
09/2021,12:45:07,AIR,AIR,APPROACH,4792,7944,7944.0,15.0,181,204,152.6,0.316,106,165.23,7,-15.882592,-48.134354,-48.139253000000004,-15.879698,0.05,0.1,13.6,14.3,5.5,19.8,1364.1,7926.33928,14.7,0.999,0.9958,152.9,3.6,13.5,3.5,17.0,13.6,20.4,0,0,ON PATH,blue
09/2021,12:45:08,AIR,AIR,APPROACH,4764,7916,7916.0,15.25,182,204,152.6,0.317,106,164.88,7,-15.882741,-48.133434,-48.138333,-15.879846999999998,0.05,0.2,13.5,14.2,5.5,19.7,1354.1,7893.53128,14.9,0.9997,0.9987,152.7,3.6,13.4,3.4,16.8,13.4,20.2,0,0,ON PATH,blue
09/2021,12:45:09,AIR,AIR,APPROACH,4736,7888,7888.0,15.25,182,204,152.6,0.317,106,164.18,8,-15.882888,-48.132309,-48.137208,-15.879993999999998,0.07,0.2,13.5,14.2,5.5,19.7,1354.1,7893.53128,14.9,0.9997,0.9987,152.7,4.2,13.4,3.5,16.9,13.5,20.3,0,0,ON PATH,blue
09/2021,12:45:10,AIR,AIR,APPROACH,4712,7864,7864.0,15.25,182,204,152.6,0.317,105,163.13,8,-15.883034,-48.131496,-48.136395,-15.880139999999999,0.05,0.3,13.4,14.1,5.5,19.6,1344.0,7860.3952,14.9,0.9997,0.9987,152.7,4.2,13.3,3.5,16.8,13.4,20.2,0,0,ON PATH,blue
09/2021,12:45:11,AIR,AIR,APPROACH,4684,7836,7836.0,15.5,182,204,152.6,0.317,105,161.37,8,-15.883176,-48.130684,-48.135583000000004,-15.880282,0.05,0.3,13.4,14.0,5.5,19.5,1344.0,7860.3952,15.2,1.0007,1.003,152.4,4.4,13.3,3.5,16.8,13.4,20.2,0,0,ON PATH,blue
09/2021,12:45:12,AIR,AIR,APPROACH,4660,7812,7812.0,15.5,182,204,152.6,0.317,105,159.96,8,-15.883318,-48.129559,-48.134458,-15.880423999999998,0.07,0.4,13.3,13.9,5.5,19.4,1334.0,7827.5872,15.2,1.0007,1.003,152.4,4.6,13.2,3.5,16.7,13.4,20.0,0,0,ON PATH,blue
09/2021,12:45:13,AIR,AIR,APPROACH,4636,7788,7788.0,15.5,182,204,152.6,0.317,105,159.26,8,-15.883457,-48.128746,-48.133645,-15.880562999999999,0.05,0.5,13.2,13.9,5.5,19.4,1324.0,7794.7792,15.2,1.0007,1.003,152.4,4.7,13.1,3.5,16.6,13.3,19.9,0,0,ON PATH,blue
09/2021,12:45:14,AIR,AIR,APPROACH,4612,7764,7764.0,15.75,182,204,152.6,0.316,104,158.2,7,-15.883593,-48.127632,-48.132531,-15.880698999999998,0.06,0.5,13.2,13.8,5.5,19.3,1324.0,7794.7792,15.4,1.0014,1.006,152.1,4.1,13.1,3.4,16.5,13.2,19.8,0,0,ON PATH,blue
09/2021,12:45:15,AIR,AIR,APPROACH,4584,7736,7736.0,15.75,182,204,152.6,0.317,104,158.2,7,-15.883726,-48.126507,-48.131406,-15.880831999999998,0.07,0.6,13.1,13.7,5.5,19.2,1313.9,7761.643120000001,15.4,1.0014,1.006,152.1,4.1,13.0,3.4,16.4,13.1,19.7,0,0,ON PATH,blue
09/2021,12:45:16,AIR,AIR,APPROACH,4560,7712,7712.0,15.75,183,204,152.6,0.317,104,156.8,7,-15.883857,-48.12569,-48.130589,-15.880963,0.05,0.6,13.1,13.6,5.5,19.1,1313.9,7761.643120000001,15.4,1.0014,1.006,152.1,4.2,13.0,3.4,16.4,13.1,19.7,0,0,ON PATH,blue
09/2021,12:45:17,AIR,AIR,APPROACH,4536,7688,7688.0,15.75,183,204,152.6,0.317,104,155.04,7,-15.883986,-48.124577,-48.129476000000004,-15.881091999999999,0.06,0.7,13.0,13.6,5.5,19.1,1303.9,7728.835120000001,15.4,1.0014,1.006,152.1,4.4,12.9,3.5,16.4,13.1,19.7,0,0,ON PATH,blue
09/2021,12:45:18,AIR,AIR,APPROACH,4512,7664,7664.0,16.0,183,204,152.6,0.317,104,154.34,7,-15.884113,-48.123661,-48.12856,-15.881218999999998,0.05,0.8,12.9,13.5,5.5,19.0,1293.9,7696.027120000001,15.7,1.0024,1.0103,151.8,4.5,12.8,3.4,16.2,13.0,19.4,0,0,ON PATH,blue
09/2021,12:45:19,AIR,AIR,APPROACH,4484,7636,7636.0,16.0,183,204,152.6,0.318,104,154.34,7,-15.884239,-48.122746,-48.127645,-15.881345,0.05,0.8,12.9,13.4,5.5,18.9,1293.9,7696.027120000001,15.7,1.0024,1.0103,151.8,4.5,12.8,3.4,16.2,13.0,19.4,0,0,ON PATH,blue
09/2021,12:45:20,AIR,AIR,APPROACH,4460,7612,7612.0,16.0,183,204,152.6,0.317,103,153.63,8,-15.884364,-48.121525,-48.126424,-15.881469999999998,0.07,0.9,12.8,13.3,5.5,18.8,1283.8,7662.89104,15.7,1.0024,1.0103,151.8,5.1,12.7,3.5,16.2,13.0,19.4,0,0,ON PATH,blue
09/2021,12:45:21,AIR,AIR,APPROACH,4436,7588,7588.0,16.25,183,204,152.6,0.317,103,153.63,8,-15.884487,-48.120609,-48.125508,-15.881592999999999,0.05,0.9,12.8,13.3,5.5,18.8,1283.8,7662.89104,15.9,1.0031,1.0133,151.6,5.1,12.7,3.5,16.2,13.0,19.4,0,0,ON PATH,blue
