DATE,TIME,LDGL,LDGR,FPHASE,HEIGHT,ALTSTDC,ALTQNH,TAT,CAS,GS,VLS,MACH,HEAD,WINDIR,WINSPD,LATP,LONP,LONCORR,LATCORR,Delta_D,ACCUM_D,TDD,e_p,e_c,e_tot,H_GEOM_REF_m,H_GEOM_REF_ft,SAT,theta,sigma,TAS,WIND_COMP,e_p_ref,e_c_REF,E_TOT_ref,e_ref_inf,e_ref_supp,FLAG_INF,FLAG_SUP,energy_state,COLOR
11/2018,15:16:37,AIR,AIR,APPROACH,4676,5000,5000.0,22.75,172,191,139.49,0.285,-35,49.92,17,-31.727071,-60.190769,-60.19123478,-4.228066777999999,0.0,0.0,93.7,14.0,4.8,18.8,9398.2,31085.614560000005,22.4,1.0257,1.114,132.2,1.5,92.7,2.5,95.2,76.2,114.2,1,0,LOW ENERGY,orange
11/2018,15:16:38,AIR,AIR,APPROACH,4664,4988,4988.0,23.0,171,190,139.49,0.283,-34,49.92,17,-31.720974,-60.191433,-60.19189878,-4.221969777999998,0.37,0.4,93.3,13.9,4.8,18.7,9358.1,30954.054480000003,22.6,1.0264,1.1173,132.0,1.8,92.3,2.5,94.8,75.8,113.8,1,0,LOW ENERGY,orange
11/2018,15:16:39,AIR,AIR,APPROACH,4652,4976,4976.0,23.0,171,190,139.49,0.283,-34,50.27,17,-31.71489,-60.192097,-60.192562779999996,-4.2158857780000005,0.37,0.7,93.0,13.9,4.8,18.7,9328.0,30855.3024,22.6,1.0264,1.1173,132.0,1.7,92.0,2.5,94.5,75.6,113.4,1,0,LOW ENERGY,orange
11/2018,15:16:40,AIR,AIR,APPROACH,4640,4964,4964.0,23.0,171,189,139.49,0.283,-34,50.27,18,-31.708808,-60.192764,-60.193229779999996,-4.209803778000001,0.37,1.1,92.6,13.9,4.7,18.6,9287.8,30723.41424,22.6,1.0264,1.1173,132.0,1.8,91.6,2.5,94.1,75.3,112.9,1,0,LOW ENERGY,orange
11/2018,15:16:41,AIR,AIR,APPROACH,4628,4952,4952.0,23.25,171,189,139.49,0.283,-34,49.57,18,-31.702733,-60.193508,-60.19397378,-4.203728777999999,0.37,1.5,92.2,13.8,4.7,18.5,9247.7,30591.854160000003,22.9,1.0274,1.1219,131.7,2.0,91.2,2.5,93.7,75.0,112.4,1,0,LOW ENERGY,orange
11/2018,15:16:42,AIR,AIR,APPROACH,4616,4940,4940.0,23.25,169,188,139.49,0.279,-34,48.87,18,-31.699681,-60.194172,-60.19463778,-4.200676778000002,0.19,1.7,92.0,13.8,4.7,18.5,9227.7,30526.238160000004,22.9,1.0274,1.1219,131.7,2.2,91.0,2.6,93.6,74.9,112.3,1,0,LOW ENERGY,orange
11/2018,15:16:43,AIR,AIR,APPROACH,4604,4928,4928.0,23.25,170,188,139.49,0.28,-34,50.27,18,-31.693587,-60.194839,-60.19530478,-4.194582778000001,0.37,2.0,91.7,13.8,4.7,18.5,9197.6,30427.486080000002,22.9,1.0274,1.1219,131.7,1.8,90.7,2.5,93.2,74.6,111.8,1,0,LOW ENERGY,orange
11/2018,15:16:44,AIR,AIR,APPROACH,4588,4912,4912.0,23.25,170,187,139.49,0.28,-34,50.27,18,-31.687498,-60.195499,-60.19596478,-4.1884937780000016,0.37,2.4,91.3,13.7,4.6,18.3,9157.5,30295.926000000003,22.9,1.0274,1.1219,131.7,1.8,90.3,2.5,92.8,74.2,111.4,1,0,LOW ENERGY,orange
11/2018,15:16:45,AIR,AIR,APPROACH,4576,4900,4900.0,23.5,169,187,139.49,0.279,-34,49.92,18,-31.681418,-60.196247,-60.19671278,-4.182413778000001,0.37,2.8,90.9,13.7,4.6,18.3,9117.3,30164.03784,23.1,1.0281,1.1252,131.5,1.9,89.9,2.5,92.4,73.9,110.9,1,0,LOW ENERGY,orange
11/2018,15:16:46,AIR,AIR,APPROACH,4560,4884,4884.0,23.5,168,187,139.49,0.277,-34,49.57,18,-31.675346,-60.196915,-60.197380779999996,-4.176341778000001,0.37,3.2,90.5,13.6,4.6,18.2,9077.2,30032.477760000005,23.1,1.0281,1.1252,131.5,2.0,89.5,2.5,92.0,73.6,110.4,1,0,LOW ENERGY,orange
