DATE,TIME,LDGL,LDGR,FPHASE,HEIGHT,ALTSTDC,ALTQNH,TAT,CAS,GS,VLS,MACH,HEAD,WINDIR,WINSPD,LATP,LONP,LONCORR,LATCORR,Delta_D,ACCUM_D,TDD,e_p,e_c,e_tot,H_GEOM_REF_m,H_GEOM_REF_ft,SAT,theta,sigma,TAS,WIND_COMP,e_p_ref,e_c_REF,E_TOT_ref,e_ref_inf,e_ref_supp,FLAG_INF,FLAG_SUP,energy_state,COLOR
10/2021,00:25:08,AIR,AIR,APPROACH,3016,5004,5135.0,19.0,179,184,150.2,0.296,170,-180.0,0,-22.869415,-47.277283,-47.27680599999999,-22.883679,0.0,0.0,10.2,9.0,4.5,13.5,1023.1,5495.58648,18.7,1.0128,1.0556,146.2,0,10.1,3.0,13.1,10.5,15.7,0,0,ON PATH,blue
10/2021,00:25:09,AIR,AIR,APPROACH,3006,4994,5126.0,19.0,179,183,150.2,0.296,170,-72.77,0,-22.870101,-47.276844,-47.27636699999999,-22.884365,0.05,0.0,10.2,9.0,4.4,13.4,1023.1,5495.58648,18.7,1.0128,1.0556,146.2,0,10.1,3.0,13.1,10.5,15.7,0,0,ON PATH,blue
10/2021,00:25:10,AIR,AIR,APPROACH,2996,4984,5117.0,19.0,178,182,150.2,0.294,170,0.0,0,-22.870788,-47.276352,-47.275875,-22.885052,0.05,0.1,10.1,9.0,4.4,13.4,1013.0,5462.4504,18.7,1.0128,1.0556,146.2,0,10.0,3.0,13.0,10.4,15.6,0,0,ON PATH,blue
10/2021,00:25:11,AIR,AIR,APPROACH,2987,4975,5107.0,19.0,178,182,150.2,0.292,170,-72.77,0,-22.871475,-47.275909,-47.275431999999995,-22.885739,0.05,0.2,10.0,8.9,4.4,13.3,1003.0,5429.642400000001,18.7,1.0128,1.0556,146.2,0,9.9,3.0,12.9,10.3,15.5,0,0,ON PATH,blue
10/2021,00:25:12,AIR,AIR,APPROACH,2978,4966,5098.0,19.0,177,181,150.2,0.292,170,-180.0,0,-22.872161,-47.275471,-47.274994,-22.886425,0.05,0.2,10.0,8.9,4.3,13.2,1003.0,5429.642400000001,18.7,1.0128,1.0556,146.2,0,9.9,3.0,12.9,10.3,15.5,0,0,ON PATH,blue
10/2021,00:25:13,AIR,AIR,APPROACH,2969,4957,5090.0,19.0,178,180,150.2,0.294,170,-72.77,0,-22.872848,-47.274979,-47.274502,-22.887112000000002,0.05,0.2,10.0,8.9,4.3,13.2,1003.0,5429.642400000001,18.7,1.0128,1.0556,146.2,0,9.9,3.0,12.9,10.3,15.5,0,0,ON PATH,blue
10/2021,00:25:14,AIR,AIR,APPROACH,2961,4949,5081.0,19.0,177,180,150.2,0.292,170,0.0,0,-22.873535,-47.274536,-47.274058999999994,-22.887799,0.05,0.3,9.9,8.9,4.3,13.2,993.0,5396.8344,18.7,1.0128,1.0556,146.2,0,9.8,3.0,12.8,10.2,15.4,0,0,ON PATH,blue
10/2021,00:25:15,AIR,AIR,APPROACH,2953,4941,5073.0,19.0,177,179,150.2,0.292,170,-72.77,0,-22.874221,-47.274097,-47.273619999999994,-22.888485,0.05,0.4,9.8,8.8,4.2,13.0,982.9,5363.6983199999995,18.7,1.0128,1.0556,146.2,0,9.7,3.0,12.7,10.2,15.2,0,0,ON PATH,blue
10/2021,00:25:16,AIR,AIR,APPROACH,2945,4933,5065.0,19.0,176,178,150.2,0.29,170,-180.0,0,-22.874908,-47.273605,-47.273128,-22.889172000000002,0.05,0.4,9.8,8.8,4.2,13.0,982.9,5363.6983199999995,18.7,1.0128,1.0556,146.2,0,9.7,3.0,12.7,10.2,15.2,0,0,ON PATH,blue
10/2021,00:25:17,AIR,AIR,APPROACH,2936,4924,5057.0,19.0,175,178,150.2,0.288,170,-72.77,0,-22.875595,-47.273167,-47.27269,-22.889859,0.05,0.4,9.8,8.8,4.2,13.0,982.9,5363.6983199999995,18.7,1.0128,1.0556,146.2,0,9.7,3.0,12.7,10.2,15.2,0,0,ON PATH,blue
