DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;ROLL_CPT;PITCH;PITCH_CPT;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS;ELEVL;ELEVR;AILL;AILR;RUDD_PDL_FORCE;RUDD;PITCH_TRM;VHF_KEYING_L;VHF_KEYING_R;AP_OFF
XX/04/22;05:37:26;APPROACH;AIR;AIR;AIR;5010;4926.00;1013.0;4659;2054;25.00;-31.594.849;-60.228.214;237;215;159;153.00;0.354;-1054;1.01;-0.00;0.00;8;-180.0;0;-4.0;52889;1;12.66;3.68;3.3;6.78;0.2;5.98;-3.54;34.7;35.0;74.2;74.8;575;593;IDLE;IDLE;21859.4;10947.8;10911.6;1331.9;1362.3;5479.4;6;AP ENGAGED;AT ENGAGED;0;0;-;-4.94;-3.11;0.94;-2.21;-1233.00;0.32;6.09;1;1;0
XX/04/22;05:37:27;APPROACH;AIR;AIR;AIR;4993;4909.00;1013.0;4642;2054;25.00;-31.584.167;-60.228.107;236;214;159;153.00;0.354;-1042;1.02;-0.00;0.00;9;-72.77;0;-3.9;52889;1;12.66;3.68;3.3;6.80;0.0;5.98;-3.55;34.7;35.0;74.5;74.8;575;593;IDLE;IDLE;21860.2;10948.1;10912.0;1331.9;1362.3;5479.4;6;AP ENGAGED;AT ENGAGED;0;0;-;-4.94;-3.11;0.99;-2.21;-1233.00;0.32;6.09;1;1;0
XX/04/22;05:37:28;APPROACH;AIR;AIR;AIR;4976;4892.00;1013.0;4625;2054;25.00;-31.573.486;-60.228.004;236;214;159;153.00;0.352;-1035;1.01;-0.00;0.00;10;0.00;0;-3.9;52889;1;12.66;3.46;3.3;6.80;0.0;5.98;-3.59;34.7;35.0;75.4;74.8;575;593;IDLE;IDLE;21860.9;10948.5;10912.4;1325.8;1368.4;5479.4;6;AP ENGAGED;AT ENGAGED;0;0;-;-4.99;-3.06;1.05;-2.16;616.50;0.38;6.09;1;1;0
XX/04/22;05:37:29;APPROACH;AIR;AIR;AIR;4958;4875.00;1013.0;4607;2054;25.00;-31.562.805;-60.228.054;235;214;159;153.00;0.352;-1040;1.01;-0.00;0.00;11;-72.77;0;-3.8;52889;1;12.66;3.17;3.3;6.80;0.0;5.98;-3.58;34.8;35.0;76.4;74.8;575;593;IDLE;IDLE;21861.7;10948.9;10912.7;1338.0;1362.3;5479.4;6;AP ENGAGED;AT ENGAGED;0;0;-;-4.99;-3.11;1.17;-2.10;-1233.00;0.38;6.09;1;1;0
XX/04/22;05:37:30;APPROACH;AIR;AIR;AIR;4941;4858.00;1013.0;4590;2054;25.00;-31.552.124;-60.228.104;234;214;159;153.00;0.352;-1043;1.01;-0.00;0.00;12;-180.0;0;-3.7;52889;1;12.30;0.88;3.3;6.80;0.0;5.98;-3.59;34.7;35.0;75.2;74.8;575;593;IDLE;IDLE;21862.4;10949.2;10913.1;1331.9;1368.4;5479.4;6;AP ENGAGED;AT ENGAGED;0;0;-;-4.99;-3.11;1.99;-1.22;1232.40;0.32;6.09;1;1;0
XX/04/22;05:37:31;APPROACH;AIR;AIR;AIR;4924;4841.00;1013.0;4573;2054;25.00;-31.541.443;-60.228.149;234;213;159;153.00;0.352;-1036;1.01;-0.00;0.00;13;-72.77;0;-3.7;52889;1;11.95;-4.53;3.3;6.80;0.0;6.15;-3.62;34.7;35.0;74.3;74.8;575;594;IDLE;IDLE;21863.2;10949.6;10913.5;1325.8;1362.3;5479.4;6;AP ENGAGED;AT ENGAGED;0;0;-;-4.99;-3.01;3.39;0.23;1232.40;0.38;6.09;1;1;0
XX/04/22;05:37:32;APPROACH;AIR;AIR;AIR;4907;4824.00;1013.0;4556;2054;25.00;-31.530.762;-60.228.199;233;213;159;153.00;0.350;-1030;1.01;-0.00;0.01;14;0.00;0;-3.6;52889;1;10.55;-7.92;3.5;6.80;0.2;5.98;-3.59;34.7;35.0;74.9;74.8;575;594;IDLE;IDLE;21863.9;10950.0;10913.9;1338.0;1374.5;5479.4;6;AP ENGAGED;AT ENGAGED;0;0;-;-4.99;-3.01;4.33;1.05;-1233.00;0.44;6.09;1;1;0
XX/04/22;05:37:33;APPROACH;AIR;AIR;AIR;4891;4807.00;1013.0;4540;2054;25.00;-31.520.081;-60.228.325;233;213;159;153.00;0.350;-1017;1.01;0.00;0.01;15;-72.77;0;-3.5;52889;1;7.73;-9.61;3.5;6.78;0.0;5.98;-3.60;34.8;35.0;76.0;74.8;575;594;IDLE;IDLE;21864.7;10950.4;10914.3;1331.9;1362.3;5479.4;6;AP ENGAGED;AT ENGAGED;0;0;-;-4.94;-3.11;4.73;1.52;616.50;0.57;6.09;1;1;0
XX/04/22;05:37:34;APPROACH;AIR;AIR;AIR;4874;4792.00;1013.0;4523;2054;25.00;-31.509.399;-60.228.451;232;213;159;153.00;0.350;-1008;1.00;0.01;0.00;15;-180.0;0;-3.3;52889;1;5.27;-8.80;3.5;6.74;0.0;6.15;-3.61;34.7;35.0;75.8;74.8;576;594;IDLE;IDLE;21865.4;10950.7;10914.6;1331.9;1368.4;5479.4;6;AP ENGAGED;AT ENGAGED;0;0;-;-4.89;-3.16;4.44;1.29;-1233.00;0.70;6.09;1;1;0
XX/04/22;05:37:35;APPROACH;AIR;AIR;AIR;4858;4775.00;1013.0;4507;2054;25.00;-31.498.718;-60.228.577;232;212;159;153.00;0.348;-1002;0.99;0.01;0.01;16;-72.77;0;-3.3;52889;1;2.81;-5.05;3.7;6.74;0.1;5.98;-3.63;34.7;35.0;73.8;74.8;577;595;IDLE;IDLE;21866.2;10951.1;10915.0;1338.0;1374.5;5479.4;6;AP ENGAGED;AT ENGAGED;0;0;-;-4.89;-3.16;3.51;0.35;-1233.00;0.82;6.09;1;1;0
XX/04/22;05:37:36;APPROACH;AIR;AIR;AIR;4842;4760.00;1013.0;4491;2054;25.00;-31.488.037;-60.228.706;231;212;159;153.00;0.348;-988;0.98;0.01;0.00;16;0.00;0;-3.1;52889;1;1.41;-2.10;3.7;6.74;0.0;5.98;-3.63;34.7;34.9;74.4;74.6;576;594;IDLE;IDLE;21866.9;10951.5;10915.4;1331.9;1362.3;5479.4;6;AP ENGAGED;AT ENGAGED;0;0;-;-4.84;-3.16;2.81;-0.46;-1233.00;0.76;6.09;1;1;0
