DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCH_CPT;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS;ELEVL;ELEVR;AILL;AILR;RUDD;PITCH_TRM;ROLL_CPT;VHF_KEYING_L;VHF_KEYING_R;AP_OFF
XX/08/22;17:44:34;APPROACH;AIR;AIR;AIR;5020;5020.00;1013.0;3116;2627;18.50;-22.908.161;-47.296.097;199;171;137;135.15;0.283;-1257;1.01;-0.03;-0.00;85;228.16;8;-0.3;39227;5;23.91;1.4;-0.67;-0.1;5.80;0.00;31.6;32.1;72.9;73.0;528;501;0;0;1450.01;728.36;721.65;468.11;475.37;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.41;-3.40;-1.52;2.54;0.06;6.79;0;1;1;0
XX/08/22;17:44:35;APPROACH;AIR;AIR;AIR;4992;4992.00;1013.0;3088;2627;18.50;-22.907.793;-47.295.071;198;174;137;135.15;0.287;-1357;1.02;-0.03;-0.01;87;232.03;9;-0.4;39227;5;22.85;1.1;-0.67;-0.2;6.16;0.00;31.6;32.1;72.9;73.1;530;502;0;0;1450.27;728.49;721.78;471.74;478.99;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.41;-3.05;-1.52;3.74;-0.32;6.79;0;1;1;0
XX/08/22;17:44:36;APPROACH;AIR;AIR;AIR;4968;4968.00;1013.0;3064;2627;18.75;-22.907.508;-47.294.041;199;178;137;135.15;0.294;-1424;1.10;-0.00;-0.01;90;232.38;9;-0.8;39227;5;22.85;0.4;0.00;-0.5;4.57;0.00;31.8;32.0;72.9;73.0;530;501;0;0;1450.54;728.63;721.91;471.74;475.37;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.05;-3.05;0.34;3.74;0.06;6.79;0;1;1;0
XX/08/22;17:44:37;APPROACH;AIR;AIR;AIR;4940;4940.00;1013.0;3036;2627;18.75;-22.907.243;-47.293.346;199;177;137;135.15;0.292;-1469;1.07;-0.01;-0.00;92;230.98;8;-0.7;39227;5;24.26;0.7;-0.13;0.1;5.63;0.00;31.8;32.1;72.9;73.0;530;501;0;0;1450.80;728.76;722.04;468.11;478.99;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.05;-2.45;0.34;2.03;0.38;6.79;0;1;1;0
XX/08/22;17:44:38;APPROACH;AIR;AIR;AIR;4916;4916.00;1013.0;3012;2627;19.00;-22.906.999;-47.292.343;199;177;137;135.15;0.292;-1499;1.12;-0.01;-0.00;95;234.14;8;-0.2;39227;5;24.61;1.8;-0.17;0.6;5.63;0.00;31.6;32.1;72.9;73.0;529;501;0;0;1451.06;728.89;722.18;468.11;475.37;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.80;-2.45;-2.15;2.03;0.06;6.76;0;1;1;0
XX/08/22;17:44:39;APPROACH;AIR;AIR;AIR;4888;4888.00;1013.0;2984;2627;19.00;-22.906.776;-47.291.428;198;177;137;135.15;0.291;-1519;1.04;-0.04;-0.01;97;239.06;8;-0.1;39227;5;22.50;2.1;-0.34;0.3;5.80;0.00;31.8;32.1;72.9;73.0;531;501;0;0;1451.33;729.02;722.31;471.74;478.99;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.80;-2.95;-2.15;3.51;-0.70;6.79;0;1;1;0
XX/08/22;17:44:40;APPROACH;AIR;AIR;AIR;4864;4864.00;1013.0;2960;2627;19.00;-22.906.574;-47.290.512;198;179;137;135.15;0.295;-1533;1.21;-0.03;0.01;99;240.12;7;-0.5;39227;5;22.50;2.3;-0.21;0.2;6.68;0.00;31.8;32.0;72.9;73.0;530;501;0;0;1451.59;729.15;722.44;471.74;478.99;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-2.70;-2.95;-2.09;3.51;-0.38;6.79;0;1;1;0
XX/08/22;17:44:41;APPROACH;AIR;AIR;AIR;4844;4844.00;1013.0;2940;2627;19.25;-22.906.637;-47.289.295;198;177;137;135.15;0.292;-1462;1.12;-0.00;0.01;102;236.95;6;-0.9;39227;5;23.91;2.3;0.25;0.0;6.51;0.00;31.8;32.1;72.9;73.0;530;502;0;0;1451.85;729.28;722.57;471.74;478.99;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-2.70;-2.05;-2.09;2.77;-0.19;6.76;0;1;1;0
XX/08/22;17:44:42;APPROACH;AIR;AIR;AIR;4824;4824.00;1013.0;2920;2627;19.25;-22.906.721;-47.288.380;197;179;137;135.15;0.294;-1376;1.18;-0.01;0.01;105;235.90;6;-0.7;39227;5;26.37;2.8;0.21;0.3;5.98;0.00;31.8;32.0;72.9;73.0;531;502;0;0;1452.12;729.41;722.71;475.37;478.99;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.50;-2.05;-1.47;2.77;0.25;6.76;0;1;1;0
XX/08/22;17:44:43;APPROACH;AIR;AIR;AIR;4804;4804.00;1013.0;2900;2627;19.50;-22.906.827;-47.287.472;196;178;137;135.15;0.293;-1318;1.15;-0.04;0.01;108;239.41;5;0.1;39227;5;28.48;3.2;-0.13;0.3;6.51;0.00;31.8;32.1;72.9;73.0;531;502;0;0;1452.38;729.54;722.84;471.74;478.99;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.50;-2.75;-1.47;1.81;-0.32;6.79;0;1;1;0
XX/08/22;17:44:44;APPROACH;AIR;AIR;AIR;4788;4788.00;1013.0;2884;2627;19.50;-22.906.959;-47.286.350;196;177;137;135.15;0.292;-1239;1.21;-0.04;0.01;110;246.09;4;0.1;39227;5;28.83;3.2;-0.96;0.1;6.86;0.00;31.8;32.1;72.9;73.0;531;502;0;0;1452.65;729.67;722.97;471.74;478.99;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.46;-2.75;0.06;1.81;-0.57;6.94;0;1;1;0
XX/08/22;17:44:45;APPROACH;AIR;AIR;AIR;4772;4772.00;1013.0;2868;2627;19.50;-22.907.112;-47.285.542;196;176;137;135.15;0.289;-1147;1.07;-0.03;-0.01;114;251.72;4;-0.1;39227;5;28.48;2.3;-0.42;-0.5;4.40;0.00;31.8;32.1;72.9;73.1;531;503;0;0;1452.91;729.80;723.11;475.37;482.62;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.46;-1.80;0.06;4.42;-0.38;6.97;0;1;1;0
XX/08/22;17:44:46;APPROACH;AIR;AIR;AIR;4752;4752.00;1013.0;2848;2627;19.50;-22.907.291;-47.284.744;195;176;137;135.15;0.290;-1125;1.03;-0.01;-0.00;116;253.48;5;-0.6;39227;5;27.42;1.9;0.13;-0.3;5.63;0.00;31.8;32.0;72.9;73.0;531;502;0;0;1453.18;729.94;723.24;475.37;475.37;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-2.55;-1.80;0.45;4.42;-0.25;6.94;0;1;1;0
XX/08/22;17:44:47;APPROACH;AIR;AIR;AIR;4732;4732.00;1013.0;2828;2627;19.50;-22.907.491;-47.283.638;194;176;137;135.15;0.290;-1150;1.13;-0.01;0.00;121;247.85;4;-1.1;39227;5;28.83;2.8;0.04;0.5;6.16;0.00;31.8;32.1;72.9;73.0;531;503;0;0;1453.44;730.07;723.37;471.74;482.62;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-2.55;-2.20;0.45;1.35;0.38;6.94;0;1;1;0
XX/08/22;17:44:48;APPROACH;AIR;AIR;AIR;4716;4716.00;1013.0;2812;2627;19.75;-22.907.718;-47.282.829;194;173;137;135.15;0.284;-1127;1.23;-0.02;0.03;123;242.93;5;-0.9;39227;5;29.18;3.5;-0.38;0.5;8.27;0.00;31.8;32.1;72.9;73.1;532;503;0;0;1453.71;730.20;723.51;478.99;478.99;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.85;-2.20;2.49;1.35;0.13;6.97;0;1;1;0
XX/08/22;17:44:49;APPROACH;AIR;AIR;AIR;4704;4704.00;1013.0;2800;2627;19.75;-22.908.273;-47.282.032;193;176;137;135.15;0.289;-1032;1.19;-0.02;0.01;127;247.85;4;-0.5;39227;5;29.88;3.0;-0.29;-0.2;6.33;0.00;31.8;32.1;73.0;73.1;532;504;0;0;1453.98;730.33;723.64;478.99;482.62;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.85;-2.85;2.49;-1.76;0.32;6.94;0;1;1;0
XX/08/22;17:44:50;APPROACH;AIR;AIR;AIR;4684;4684.00;1013.0;2780;2627;19.75;-22.908.851;-47.280.945;193;178;137;135.15;0.293;-1008;1.12;-0.05;0.00;128;250.31;3;-0.1;39227;5;28.13;2.6;-0.55;-0.3;5.45;0.00;31.8;32.1;73.0;73.1;532;503;0;0;1454.24;730.47;723.77;475.37;478.99;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.32;-2.85;1.87;-1.76;-0.38;7.12;0;1;1;0
XX/08/22;17:44:51;APPROACH;AIR;AIR;AIR;4672;4672.00;1013.0;2768;2627;19.75;-22.909.446;-47.280.128;192;177;137;135.15;0.291;-992;1.12;-0.01;0.01;131;236.95;3;-0.8;39227;5;23.20;2.6;-1.17;-0.1;5.80;0.00;31.8;32.1;73.0;73.1;532;503;0;0;1454.51;730.60;723.91;475.37;482.62;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.32;-4.30;1.87;-1.02;-0.44;7.15;0;1;1;0
XX/08/22;17:44:52;APPROACH;AIR;AIR;AIR;4660;4660.00;1013.0;2756;2627;19.75;-22.910.062;-47.279.327;191;177;137;135.15;0.291;-902;1.12;0.00;0.00;134;218.32;4;-1.7;39227;5;21.10;2.3;-1.51;-0.2;4.22;0.00;31.8;32.1;73.0;73.1;532;503;0;0;1454.77;730.73;724.04;478.99;482.62;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-5.19;-4.30;4.37;-1.02;0.44;7.15;0;1;1;0
XX/08/22;17:44:53;APPROACH;AIR;AIR;AIR;4644;4644.00;1013.0;2740;2627;19.75;-22.910.022;-47.278.259;191;173;137;135.15;0.284;-882;0.89;-0.03;-0.03;136;210.94;4;-1.7;39227;5;18.99;1.9;-0.55;-0.3;5.10;0.00;31.8;32.1;73.0;73.0;532;502;0;0;1455.04;730.86;724.18;475.37;478.99;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-5.19;-3.20;4.37;-1.30;0.38;7.12;0;1;1;0
XX/08/22;17:44:54;APPROACH;AIR;AIR;AIR;4628;4628.00;1013.0;2724;2627;19.75;-22.909.996;-47.277.431;191;175;137;135.15;0.287;-908;1.12;-0.00;0.01;137;214.80;5;-1.8;39227;5;16.17;3.0;-1.30;0.6;6.33;0.00;31.8;32.1;73.0;73.1;532;504;0;0;1455.31;731.00;724.31;478.99;486.25;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-5.19;-3.20;2.95;-1.30;-0.06;7.12;0;1;1;0
XX/08/22;17:44:55;APPROACH;AIR;AIR;AIR;4616;4616.00;1013.0;2712;2627;20.00;-22.910.285;-47.276.619;190;174;137;135.15;0.286;-885;1.11;0.02;-0.00;140;214.80;5;-2.0;39227;5;14.41;3.2;-1.34;0.2;5.28;0.00;31.8;32.1;73.0;73.1;533;504;0;0;1455.57;731.13;724.44;475.37;482.62;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-5.19;-4.16;2.95;-1.93;0.38;7.18;0;1;1;0
XX/08/22;17:44:56;APPROACH;AIR;AIR;AIR;4604;4604.00;1013.0;2700;2627;20.00;-22.910.589;-47.275.871;189;174;137;135.15;0.286;-831;1.00;0.00;-0.01;140;213.75;5;-1.8;39227;5;13.36;3.0;-1.05;-0.1;5.10;0.00;31.8;32.0;73.0;73.0;532;503;0;0;1455.84;731.26;724.58;475.37;478.99;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.55;-4.16;2.78;-1.93;0.38;7.03;0;1;1;0
XX/08/22;17:44:57;APPROACH;AIR;AIR;AIR;4592;4592.00;1013.0;2688;2627;20.00;-22.910.896;-47.275.032;189;174;137;135.15;0.286;-794;1.04;-0.01;-0.00;141;214.10;5;-1.4;39227;5;11.25;3.3;-0.96;0.2;6.16;0.00;31.6;32.0;73.0;73.0;532;503;0;0;1456.10;731.39;724.71;475.37;478.99;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.55;-4.25;2.78;-0.74;-0.25;6.82;0;1;1;0
XX/08/22;17:44:58;APPROACH;AIR;AIR;AIR;4580;4580.00;1013.0;2676;2627;20.00;-22.911.577;-47.274.204;188;173;137;135.15;0.284;-770;0.99;-0.02;-0.01;142;212.70;5;-1.2;39227;5;9.84;3.3;-0.50;0.0;4.40;0.00;31.8;32.0;73.0;73.0;533;503;0;0;1456.37;731.53;724.84;478.99;482.62;9840.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.45;-4.25;1.76;-0.74;-0.32;6.65;0;0;1;0
