DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCH_CPT;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS;ELEVL;ELEVR;AILL;AILR;RUDD;PITCH_TRM;ROLL_CPT;VHF_KEYING_L;VHF_KEYING_R;AP_OFF
XX/01/22;16:09:06;DESCENT;AIR;AIR;AIR;5004;5004.00;1013.0;4696;2629;26.75;-31.824.539;-60.199.867;269;252;160;189.92;0.415;-1492;0.98;0.00;-0.02;-17;39.38;22;-4.5;53070;0;-0.35;1.2;-0.50;-0.0;3.34;0.00;32.8;31.4;73.5;73.6;508;504;0;0;6915.34;3476.17;3439.18;457.22;449.96;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.00;-3.30;1.19;0.84;0.25;5.03;0;1;1;0
XX/01/22;16:09:07;DESCENT;AIR;AIR;AIR;4980;4980.00;1013.0;4672;2629;26.75;-31.812.735;-60.200.516;269;252;160;189.92;0.415;-1475;1.00;-0.00;-0.02;-17;39.73;22;-4.5;53070;0;0.00;1.2;-0.46;-0.0;3.52;0.00;32.8;31.5;73.5;73.6;508;506;0;0;6915.60;3476.29;3439.30;457.22;460.85;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.00;-3.30;1.19;0.79;0.32;5.00;0;1;1;0
XX/01/22;16:09:08;DESCENT;AIR;AIR;AIR;4956;4956.00;1013.0;4648;2629;26.75;-31.804.903;-60.201.351;269;252;160;189.92;0.415;-1463;0.99;-0.00;-0.02;-17;39.73;22;-4.5;53070;0;0.00;1.2;-0.50;-0.0;3.52;0.00;32.8;31.5;73.5;73.6;508;506;0;0;6915.85;3476.42;3439.43;460.85;457.22;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.95;-3.30;1.30;0.79;0.25;5.00;0;1;1;0
XX/01/22;16:09:09;DESCENT;AIR;AIR;AIR;4932;4932.00;1013.0;4624;2629;26.75;-31.794.021;-60.202.190;269;252;160;189.92;0.415;-1456;0.99;-0.00;-0.02;-17;39.73;22;-4.5;53070;0;0.00;1.2;-0.55;-0.0;3.52;0.00;32.8;31.5;73.5;73.6;508;505;0;0;6916.11;3476.55;3439.56;460.85;457.22;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.95;-3.25;1.30;0.84;0.19;5.00;0;1;1;0
XX/01/22;16:09:10;DESCENT;AIR;AIR;AIR;4904;4904.00;1013.0;4596;2629;26.75;-31.784.866;-60.202.877;269;252;160;189.92;0.415;-1490;1.00;0.00;-0.02;-17;40.08;22;-4.6;53070;0;0.00;1.2;-0.50;-0.0;3.52;0.00;32.8;31.5;73.5;73.6;508;506;0;0;6916.36;3476.68;3439.69;460.85;460.85;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.00;-3.25;1.30;0.84;0.25;5.00;0;1;1;0
XX/01/22;16:09:11;DESCENT;AIR;AIR;AIR;4880;4880.00;1013.0;4572;2629;26.75;-31.775.711;-60.203.568;269;252;160;189.92;0.415;-1513;0.99;-0.00;-0.02;-17;40.08;23;-4.6;53070;0;0.00;1.2;-0.50;-0.0;3.52;0.00;32.6;31.4;73.5;73.6;508;505;0;0;6916.62;3476.81;3439.81;460.85;453.59;12640.;1;AP ENGAGED;AT ENGAGED;0;0;-;-4.00;-3.25;1.30;0.73;0.25;5.00;0;1;1;0
XX/01/22;16:09:12;DESCENT;AIR;AIR;AIR;4856;4856.00;1013.0;4548;2629;27.00;-31.763.504;-60.204.403;269;252;160;189.92;0.415;-1489;0.99;0.00;-0.02;-17;39.73;23;-4.6;53070;0;0.00;1.2;-0.50;-0.0;3.52;0.00;32.6;31.5;73.5;73.6;508;505;0;0;6916.87;3476.94;3439.94;464.48;457.22;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.00;-3.25;1.36;0.73;0.19;5.00;0;1;1;0
XX/01/22;16:09:13;DESCENT;AIR;AIR;AIR;4832;4832.00;1013.0;4524;2629;27.00;-31.754.348;-60.205.055;268;252;160;189.92;0.415;-1473;0.99;-0.00;-0.02;-17;39.38;23;-4.6;53070;0;0.00;1.2;-0.50;-0.0;3.52;0.00;32.8;31.5;73.5;73.6;508;506;0;0;6917.13;3477.06;3440.07;464.48;457.22;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.00;-3.30;1.36;0.79;0.25;4.97;0;1;1;0
XX/01/22;16:09:14;DESCENT;AIR;AIR;AIR;4804;4804.00;1013.0;4496;2629;27.00;-31.742.144;-60.205.704;268;253;159;189.92;0.416;-1502;1.00;0.00;-0.02;-17;39.38;23;-4.6;53070;0;-0.35;1.2;-0.46;-0.0;3.52;0.00;32.8;31.5;73.5;73.6;508;506;0;0;6917.39;3477.19;3440.19;464.48;457.22;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.95;-3.30;1.53;0.79;0.25;5.00;0;1;1;0
XX/01/22;16:09:15;DESCENT;AIR;AIR;AIR;4780;4780.00;1013.0;4472;2629;27.00;-31.730.351;-60.206.356;268;253;159;189.92;0.415;-1521;1.00;0.00;-0.02;-17;38.67;23;-4.5;53070;0;0.00;1.4;-0.46;0.1;3.34;0.00;32.8;31.5;73.5;73.6;508;506;0;0;6917.64;3477.32;3440.32;464.48;460.85;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.95;-3.30;1.53;0.56;0.25;5.00;0;1;1;0
XX/01/22;16:09:16;DESCENT;AIR;AIR;AIR;4756;4756.00;1013.0;4448;2629;27.00;-31.722.519;-60.207.150;268;253;159;189.92;0.415;-1494;1.00;-0.00;-0.02;-17;38.32;23;-4.5;53070;0;0.00;1.4;-0.46;0.0;3.52;0.00;32.6;31.5;73.5;73.6;508;506;0;0;6917.90;3477.45;3440.45;464.48;457.22;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.95;-3.30;1.42;0.56;0.19;5.00;0;1;1;0
XX/01/22;16:09:17;DESCENT;AIR;AIR;AIR;4732;4732.00;1013.0;4424;2629;27.00;-31.711.643;-60.207.802;268;253;159;189.92;0.415;-1476;1.01;0.00;-0.02;-17;37.97;23;-4.5;53070;0;-0.35;1.4;-0.50;0.0;3.52;0.00;32.6;31.4;73.5;73.6;508;505;0;0;6918.15;3477.58;3440.57;464.48;457.22;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.95;-3.30;1.42;0.67;0.19;5.00;0;1;1;0
XX/01/22;16:09:18;DESCENT;AIR;AIR;AIR;4708;4708.00;1013.0;4400;2629;27.00;-31.702.487;-60.208.450;268;253;159;189.92;0.416;-1464;1.00;-0.00;-0.02;-17;37.62;23;-4.5;53070;0;-0.35;1.4;-0.42;0.0;3.52;0.00;32.6;31.5;73.5;73.6;508;506;0;0;6918.41;3477.71;3440.70;464.48;460.85;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.80;-3.30;1.36;0.67;0.25;4.97;0;1;1;0
XX/01/22;16:09:19;DESCENT;AIR;AIR;AIR;4684;4684.00;1013.0;4376;2629;27.00;-31.693.332;-60.209.103;268;253;159;189.92;0.415;-1456;1.01;-0.00;-0.02;-17;37.27;22;-4.4;53070;0;-0.35;1.6;-0.25;0.1;3.69;0.00;32.6;31.4;73.5;73.6;508;506;0;0;6918.67;3477.84;3440.83;464.48;457.22;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.80;-3.00;1.36;0.79;0.19;5.00;0;1;1;0
XX/01/22;16:09:20;DESCENT;AIR;AIR;AIR;4664;4664.00;1013.0;4356;2629;27.00;-31.681.125;-60.209.896;267;253;159;189.92;0.415;-1411;1.03;-0.00;-0.02;-17;36.91;22;-4.4;53070;0;-0.35;1.9;-0.21;0.2;3.87;0.00;32.6;31.5;73.5;73.6;508;506;0;0;6918.92;3477.97;3440.96;464.48;460.85;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.55;-3.00;1.25;0.79;0.25;5.00;0;1;1;0
XX/01/22;16:09:21;DESCENT;AIR;AIR;AIR;4644;4644.00;1013.0;4336;2629;27.00;-31.671.970;-60.210.548;267;252;159;189.92;0.414;-1342;1.04;0.00;-0.02;-17;36.91;22;-4.4;53070;0;-0.70;2.1;-0.17;0.2;3.87;0.00;32.6;31.4;73.5;73.6;508;506;0;0;6919.18;3478.10;3441.08;464.48;460.85;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.55;-2.95;1.25;0.84;0.25;5.00;0;1;1;0
XX/01/22;16:09:22;DESCENT;AIR;AIR;AIR;4628;4628.00;1013.0;4320;2629;27.25;-31.662.817;-60.211.197;267;252;159;189.92;0.413;-1255;1.06;0.00;-0.02;-17;36.91;22;-4.4;53070;0;-0.35;2.5;-0.29;0.2;4.04;0.00;32.6;31.4;73.5;73.6;508;506;0;0;6919.44;3478.22;3441.21;464.48;460.85;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.70;-2.95;1.30;0.84;0.25;5.00;0;1;1;0
XX/01/22;16:09:23;DESCENT;AIR;AIR;AIR;4612;4612.00;1013.0;4304;2629;27.25;-31.651.034;-60.211.845;266;252;159;189.92;0.413;-1158;1.05;-0.00;-0.02;-17;36.91;22;-4.4;53070;0;-0.35;2.6;-0.42;0.2;3.87;0.00;32.6;31.4;73.5;73.6;508;506;0;0;6919.69;3478.35;3441.34;468.11;457.22;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.70;-3.25;1.30;0.79;0.19;5.12;0;1;1;0
XX/01/22;16:09:24;DESCENT;AIR;AIR;AIR;4596;4596.00;1013.0;4288;2629;27.25;-31.643.198;-60.212.639;266;251;159;189.92;0.412;-1093;1.03;-0.00;-0.02;-17;36.91;22;-4.4;53070;0;-0.35;2.8;-0.42;0.1;3.87;0.00;32.6;31.4;73.5;73.6;509;506;0;0;6919.95;3478.48;3441.47;468.11;460.85;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.95;-3.25;1.19;0.79;0.19;5.09;0;1;1;0
XX/01/22;16:09:25;DESCENT;AIR;AIR;AIR;4580;4580.00;1013.0;4272;2629;27.25;-31.632.321;-60.213.291;265;251;159;189.92;0.411;-1049;1.02;-0.00;-0.02;-17;36.56;22;-4.5;53070;0;-0.70;3.0;-0.42;0.1;3.87;0.00;32.6;31.4;73.5;73.6;509;507;0;0;6920.21;3478.61;3441.60;468.11;460.85;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.95;-3.20;1.19;0.84;0.25;5.12;0;1;1;0
XX/01/22;16:09:26;DESCENT;AIR;AIR;AIR;4568;4568.00;1013.0;4260;2629;27.25;-31.620.550;-60.213.943;265;250;159;189.92;0.410;-980;1.03;-0.00;-0.02;-17;36.56;22;-4.5;53070;0;-0.35;3.2;-0.42;0.1;3.87;0.00;32.6;31.4;73.5;73.6;509;506;0;0;6920.47;3478.74;3441.72;468.11;460.85;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.90;-3.20;1.30;0.84;0.19;5.12;0;1;1;0
XX/01/22;16:09:27;DESCENT;AIR;AIR;AIR;4560;4560.00;1013.0;4252;2629;27.25;-31.612.711;-60.214.592;264;250;159;189.92;0.409;-855;1.02;-0.00;-0.02;-17;36.56;22;-4.5;53070;0;-0.35;3.3;-0.46;0.1;3.87;0.00;32.6;31.4;73.5;73.6;509;507;0;0;6920.73;3478.88;3441.85;468.11;460.85;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.90;-3.30;1.30;0.90;0.13;5.12;0;1;1;0
XX/01/22;16:09:28;DESCENT;AIR;AIR;AIR;4548;4548.00;1013.0;4240;2629;27.25;-31.601.834;-60.215.385;263;249;159;189.92;0.408;-771;1.02;0.00;-0.02;-17;36.56;22;-4.5;53070;0;-0.35;3.5;-0.50;0.1;3.87;0.00;32.6;31.4;73.5;73.6;509;507;0;0;6920.99;3479.01;3441.98;468.11;464.48;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.00;-3.30;1.25;0.90;0.19;5.12;0;1;1;0
XX/01/22;16:09:29;DESCENT;AIR;AIR;AIR;4540;4540.00;1013.0;4232;2629;27.00;-31.592.679;-60.216.038;263;249;159;189.92;0.408;-714;1.01;-0.00;-0.02;-17;35.86;22;-4.5;53070;0;-0.35;3.5;-0.50;0.0;3.87;0.00;32.6;31.4;73.5;73.5;509;506;0;0;6921.24;3479.14;3442.11;468.11;460.85;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.00;-3.40;1.25;0.84;0.25;5.09;0;1;1;0
XX/01/22;16:09:30;DESCENT;AIR;AIR;AIR;4528;4528.00;1013.0;4220;2629;27.00;-31.583.536;-60.216.690;262;248;159;189.92;0.406;-677;1.01;-0.00;-0.02;-17;35.51;22;-4.5;53070;0;-0.35;3.7;-0.50;0.1;3.87;0.00;32.6;31.4;73.5;73.6;509;507;0;0;6921.50;3479.27;3442.24;468.11;464.48;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.05;-3.40;1.19;0.84;0.25;5.12;0;1;1;0
XX/01/22;16:09:31;DESCENT;AIR;AIR;AIR;4520;4520.00;1013.0;4212;2629;27.00;-31.571.362;-60.217.335;261;247;159;189.92;0.405;-651;1.00;-0.00;-0.02;-17;35.16;22;-4.5;53070;0;-0.35;3.7;-0.55;0.0;3.87;0.00;32.6;31.4;73.5;73.6;510;508;0;0;6921.76;3479.40;3442.37;468.11;464.48;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.05;-3.35;1.19;1.01;0.25;5.12;0;1;1;0
XX/01/22;16:09:32;DESCENT;AIR;AIR;AIR;4512;4512.00;1013.0;4204;2629;26.75;-31.562.207;-60.218.132;260;247;159;189.92;0.404;-595;1.00;-0.00;-0.02;-17;35.16;22;-4.6;53070;0;-0.35;3.7;-0.50;0.0;3.87;0.00;32.6;31.3;73.5;73.5;509;506;0;0;6922.02;3479.53;3442.49;468.11;457.22;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.00;-3.35;0.28;1.01;0.19;5.09;0;1;1;0
XX/01/22;16:09:33;DESCENT;AIR;AIR;AIR;4500;4500.00;1013.0;4192;2629;26.75;-31.553.071;-60.218.781;260;246;159;189.92;0.403;-596;0.99;-0.00;-0.02;-17;35.16;22;-4.5;53070;0;0.00;3.7;-0.46;0.0;3.87;0.00;32.5;31.4;73.4;73.6;509;508;0;0;6922.28;3479.66;3442.62;468.11;464.48;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.00;-3.25;0.28;2.94;0.25;5.09;0;1;1;0
XX/01/22;16:09:34;DESCENT;AIR;AIR;AIR;4492;4492.00;1013.0;4184;2629;26.75;-31.541.357;-60.219.433;259;245;159;189.92;0.401;-598;1.00;-0.00;-0.02;-17;34.80;22;-4.4;53070;0;1.41;3.7;-0.42;0.0;3.87;0.00;32.5;31.3;73.5;73.5;510;508;0;0;6922.54;3479.79;3442.75;468.11;460.85;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.80;-3.25;-1.30;2.94;0.06;5.09;0;1;1;0
XX/01/22;16:09:35;DESCENT;AIR;AIR;AIR;4484;4484.00;1013.0;4176;2629;26.75;-31.533.496;-60.220.078;258;245;159;189.92;0.400;-559;1.00;-0.01;-0.02;-17;34.45;22;-4.2;53070;0;3.52;3.7;-0.38;0.0;4.22;0.00;32.5;31.4;73.4;73.6;510;508;0;0;6922.79;3479.92;3442.88;468.11;464.48;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.80;-3.15;-1.30;4.30;-0.06;5.09;0;1;1;0
XX/01/22;16:09:36;DESCENT;AIR;AIR;AIR;4476;4476.00;1013.0;4168;2629;26.75;-31.522.598;-60.220.875;257;244;159;189.92;0.398;-533;1.01;-0.01;-0.01;-17;34.10;21;-4.0;53070;0;5.63;3.9;-0.34;0.1;4.22;0.00;32.5;31.3;73.4;73.5;510;508;0;0;6923.05;3480.05;3443.01;468.11;460.85;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.80;-3.15;-2.20;4.30;-0.19;5.12;0;1;1;0
XX/01/22;16:09:37;DESCENT;AIR;AIR;AIR;4468;4468.00;1013.0;4160;2629;26.50;-31.510.899;-60.221.523;256;243;159;189.92;0.398;-515;1.00;-0.02;-0.01;-16;33.75;21;-4.0;53070;0;8.44;3.9;-0.25;0.0;4.22;0.00;32.5;31.3;73.4;73.6;510;508;0;0;6923.31;3480.18;3443.14;468.11;464.48;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.80;-3.05;-2.20;4.70;-0.25;5.12;0;1;1;0
XX/01/22;16:09:38;DESCENT;AIR;AIR;AIR;4460;4460.00;1013.0;4152;2629;26.50;-31.503.024;-60.222.160;255;242;159;189.92;0.395;-504;1.01;-0.02;-0.01;-15;33.40;20;-3.9;53070;0;11.60;3.9;-0.17;0.0;4.57;0.00;32.5;31.3;73.4;73.6;510;508;0;0;6923.57;3480.31;3443.26;468.11;460.85;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.50;-3.05;-2.20;4.70;-0.06;5.09;0;1;1;0
XX/01/22;16:09:39;DESCENT;AIR;AIR;AIR;4452;4452.00;1013.0;4144;2629;26.50;-31.492.100;-60.222.794;254;241;159;189.92;0.394;-496;1.02;-0.01;-0.01;-13;33.05;20;-3.9;53070;0;14.41;4.0;-0.09;0.1;4.57;0.00;32.5;31.3;73.4;73.5;510;508;0;0;6923.83;3480.44;3443.39;468.11;464.48;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.50;-2.85;-2.20;3.45;0.00;5.15;0;1;1;0
XX/01/22;16:09:40;DESCENT;AIR;AIR;AIR;4440;4440.00;1013.0;4132;2629;26.50;-31.482.944;-60.223.289;252;241;159;189.92;0.393;-530;1.04;-0.01;-0.01;-12;33.05;20;-4.0;53070;0;17.58;4.0;-0.21;0.0;4.75;0.00;32.5;31.3;73.4;73.6;511;509;0;0;6924.09;3480.57;3443.52;471.74;464.48;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.60;-2.85;0.00;3.45;0.06;5.24;0;1;1;0
XX/01/22;16:09:41;DESCENT;AIR;AIR;AIR;4432;4432.00;1013.0;4124;2629;26.50;-31.473.784;-60.223.923;251;240;159;189.92;0.392;-553;1.06;-0.01;-0.00;-10;33.05;20;-4.0;53070;0;18.99;4.2;-0.29;0.1;4.92;0.00;32.5;31.3;73.4;73.6;511;509;0;0;6924.35;3480.70;3443.65;468.11;464.48;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.60;-3.20;0.00;1.24;0.25;5.35;0;1;1;0
XX/01/22;16:09:42;DESCENT;AIR;AIR;AIR;4424;4424.00;1013.0;4116;2629;26.25;-31.461.573;-60.224.537;250;239;159;189.92;0.391;-529;1.05;-0.01;-0.00;-9;33.40;20;-4.1;53070;0;19.69;4.0;-0.38;-0.1;4.92;0.00;32.4;31.1;73.4;73.5;512;509;0;0;6924.61;3480.83;3443.78;468.11;464.48;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.90;-3.20;1.30;1.24;0.38;5.41;0;1;1;0
XX/01/22;16:09:43;DESCENT;AIR;AIR;AIR;4416;4416.00;1013.0;4108;2629;26.25;-31.452.417;-60.225.140;249;239;159;189.92;0.390;-513;1.04;-0.01;-0.00;-7;33.75;21;-4.1;53070;0;19.69;4.0;-0.42;-0.0;4.92;0.00;32.4;31.3;73.4;73.6;512;510;0;0;6924.87;3480.96;3443.91;468.11;464.48;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.90;-3.25;1.30;0.45;0.32;5.38;0;1;1;0
XX/01/22;16:09:44;DESCENT;AIR;AIR;AIR;4408;4408.00;1013.0;4100;2629;26.25;-31.440.210;-60.225.723;247;238;159;189.92;0.388;-502;1.03;-0.00;-0.00;-6;34.10;21;-4.1;53070;0;19.34;4.0;-0.38;-0.0;4.92;0.00;32.4;31.3;73.4;73.6;512;510;0;0;6925.13;3481.09;3444.04;471.74;464.48;12640.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.80;-3.25;1.81;0.45;0.44;5.41;0;1;1;0
XX/01/22;16:09:45;DESCENT;AIR;AIR;AIR;4396;4396.00;1013.0;4088;2629;26.25;-31.428.514;-60.226.028;246;237;159;189.92;0.387;-534;1.04;-0.00;-0.00;-4;34.45;21;-4.1;53070;0;18.99;4.0;-0.34;-0.0;4.92;0.00;32.4;31.1;73.4;73.6;512;509;0;0;6925.39;3481.22;3444.17;471.74;464.48;12640.;1;AP ENGAGED;AT ENGAGED;0;0;-;-3.80;-3.10;1.81;0.22;0.44;5.41;0;1;1;0
