DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;ROLL_CPT;PITCH;PITCH_CPT;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS;ELEVL;ELEVR;AILL;AILR;RUDD_PDL_FORCE;RUDD;PITCH_TRM;VHF_KEYING_L;VHF_KEYING_R;AP_OFF
XX/09/22;02:46:34;DESCENT;AIR;AIR;AIR;8007;8221.00;1013.0;4767;2053;20.75;-15.838.928;-48.166.405;226;200;163;162.85;0.348;-1173;1.07;0.01;0.01;156;-72.77;0;-0.2;54758;5;0.35;0.81;4.6;6.74;-0.1;7.38;4.04;34.7;35.3;76.0;74.6;579;588;IDLE;IDLE;17853.2;8994.69;8858.59;1252.8;1258.9;5352.4;42;AP ENGAGED;AT ENGAGED;0;0;-;-4.79;-3.21;2.10;-0.40;-1233.00;0.76;5.58;1;1;0
XX/09/22;02:46:35;APPROACH;AIR;AIR;AIR;7989;8203.00;1013.0;4749;2053;20.75;-15.839.691;-48.165.638;226;198;163;162.85;0.346;-1152;0.97;0.01;-0.00;156;0.00;0;0.1;54758;5;0.70;1.69;4.4;6.70;-0.2;7.21;3.98;34.7;35.3;75.5;74.6;579;588;IDLE;IDLE;17853.9;8995.04;8858.94;1252.8;1258.9;5352.4;32;AP ENGAGED;AT ENGAGED;0;0;-;-4.84;-3.26;1.81;-0.58;-1233.00;0.63;5.55;1;1;0
XX/09/22;02:46:36;APPROACH;AIR;AIR;AIR;7971;8184.00;1013.0;4731;2053;20.75;-15.840.454;-48.164.982;225;198;163;162.85;0.344;-1129;0.98;0.00;-0.00;156;-72.77;0;0.3;54758;5;0.00;1.84;4.2;6.82;-0.1;6.68;3.92;34.7;35.3;74.6;74.6;579;588;IDLE;IDLE;17854.6;8995.38;8859.30;1246.8;1265.0;5352.4;18;AP ENGAGED;AT ENGAGED;0;0;-;-4.94;-3.06;1.75;-0.75;1232.40;0.32;5.51;1;1;0
XX/09/22;02:46:37;APPROACH;AIR;AIR;AIR;7954;8167.00;1013.0;4714;2053;20.75;-15.841.217;-48.164.265;224;197;163;162.85;0.342;-1103;1.01;0.01;0.01;156;-180.0;0;0.2;54758;5;-0.70;3.17;4.2;6.82;-0.0;7.21;3.86;34.7;35.3;75.0;74.6;579;589;IDLE;IDLE;17855.3;8995.73;8859.65;1252.8;1265.0;5352.4;9;AP ENGAGED;AT ENGAGED;0;0;-;-4.99;-3.01;1.29;-1.22;1232.40;0.13;5.51;1;1;0
XX/09/22;02:46:38;APPROACH;AIR;AIR;AIR;7939;8152.00;1013.0;4699;2053;20.75;-15.841.980;-48.163.609;224;197;163;162.85;0.344;-1056;1.05;0.01;0.01;156;-72.77;0;-0.2;54758;5;-0.70;-0.85;4.0;6.78;-0.2;6.86;3.78;34.7;35.3;74.5;74.8;580;589;IDLE;IDLE;17856.0;8996.08;8860.00;1258.9;1265.0;5352.4;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.94;-3.06;2.57;0.18;1232.40;0.57;5.51;1;1;0
XX/09/22;02:46:39;APPROACH;AIR;AIR;AIR;7926;8140.00;1013.0;4686;2053;20.75;-15.842.742;-48.162.895;223;198;163;162.85;0.344;-984;1.03;0.02;0.00;156;0.00;0;-0.4;54758;5;1.05;-5.71;3.9;6.55;-0.2;6.15;3.67;34.7;35.3;73.9;74.8;580;589;IDLE;IDLE;17856.7;8996.43;8860.35;1258.9;1265.0;5352.4;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.59;-3.45;3.74;1.34;-1233.00;1.14;5.48;1;1;0
XX/09/22;02:46:40;APPROACH;AIR;AIR;AIR;7913;8126.00;1013.0;4673;2053;20.75;-15.843.505;-48.162.239;223;196;163;162.85;0.342;-917;0.99;0.01;-0.00;156;-72.77;0;0.1;54758;5;1.41;-2.91;3.7;6.51;-0.2;6.50;3.59;34.7;35.2;73.8;74.6;580;589;IDLE;IDLE;17857.4;8996.78;8860.70;1252.8;1258.9;5352.4;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.50;-3.60;3.10;0.70;-1233.00;0.19;5.51;1;1;0
XX/09/22;02:46:41;APPROACH;AIR;AIR;AIR;7898;8112.00;1013.0;4658;2053;20.75;-15.844.268;-48.161.522;222;194;163;162.85;0.338;-892;1.00;-0.01;0.00;156;-180.0;0;0.2;54758;5;0.70;1.99;3.5;6.53;-0.2;5.27;3.47;34.7;35.2;73.7;74.6;580;589;IDLE;IDLE;17858.1;8997.13;8861.05;1258.9;1271.1;5352.4;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.54;-3.50;1.58;-0.69;616.50;-0.26;5.48;1;1;0
XX/09/22;02:46:42;APPROACH;AIR;AIR;AIR;7887;8101.00;1013.0;4647;2053;20.75;-15.845.031;-48.160.866;222;198;163;162.85;0.344;-855;0.88;-0.00;-0.01;156;-72.77;0;-0.2;54758;5;-0.35;0.44;3.2;6.53;-0.4;6.15;3.36;34.9;35.3;73.6;74.8;581;590;IDLE;IDLE;17858.8;8997.47;8861.41;1252.8;1265.0;5352.4;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.59;-3.55;2.16;-0.11;-1233.00;0.57;5.48;1;1;0
XX/09/22;02:46:43;APPROACH;AIR;AIR;AIR;7875;8089.00;1013.0;4635;2053;20.75;-15.845.718;-48.160.149;222;196;163;162.85;0.342;-800;0.96;0.03;-0.01;157;0.00;0;-0.5;54758;5;-0.70;-8.95;3.3;6.49;0.1;5.80;3.23;37.8;36.1;76.7;75.5;602;597;IDLE;IDLE;17859.6;8997.89;8861.80;1496.1;1404.9;5352.4;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.45;-3.55;4.56;2.28;1232.40;1.21;5.48;1;1;0
