DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCH_CPT;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS;ELEVL;ELEVR;AILL;AILR;RUDD;PITCH_TRM;ROLL_CPT;VHF_KEYING_L;VHF_KEYING_R;AP_OFF
XX/03/22;03:35:28;DESCENT;AIR;AIR;AIR;8004;8004.00;1013.0;4688;2627;21.50;-16.058.877;-48.151.203;266;229;152;177.12;0.400;-1133;0.95;-0.01;-0.01;20;118.13;7;-1.4;47355;0;-0.35;2.3;-0.55;-0.0;3.87;0.00;32.6;31.5;73.4;73.6;508;502;0;0;2846.19;1428.07;1418.12;424.56;420.93;9080.0;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.23;-3.65;0.57;1.69;-0.13;5.18;0;1;1;0
XX/03/22;03:35:29;DESCENT;AIR;AIR;AIR;7984;7984.00;1013.0;4668;2627;21.50;-16.057.529;-48.150.959;265;229;152;177.12;0.400;-1155;0.96;-0.00;-0.01;20;116.72;7;-1.6;47355;0;0.00;2.1;-0.59;-0.1;4.22;0.00;32.6;31.5;73.4;73.6;509;502;0;0;2846.42;1428.19;1418.24;420.93;417.31;9080.0;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.23;-3.50;0.57;1.35;0.13;5.21;0;1;1;0
XX/03/22;03:35:30;DESCENT;AIR;AIR;AIR;7964;7964.00;1013.0;4648;2627;21.50;-16.056.308;-48.150.711;265;229;152;177.12;0.399;-1170;0.98;-0.00;-0.01;20;114.96;7;-1.5;47355;0;0.35;2.1;-0.50;-0.0;4.04;0.00;32.6;31.5;73.4;73.6;508;503;0;0;2846.66;1428.30;1418.36;420.93;420.93;9080.0;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.14;-3.50;0.68;1.35;0.13;5.24;0;1;1;0
XX/03/22;03:35:31;DESCENT;AIR;AIR;AIR;7944;7944.00;1013.0;4628;2627;21.75;-16.055.090;-48.150.467;265;230;152;177.12;0.401;-1180;1.00;-0.01;-0.02;20;113.55;7;-1.5;47355;0;0.35;2.1;-0.46;-0.0;4.22;0.00;32.6;31.5;73.4;73.6;509;503;0;0;2846.89;1428.42;1418.47;424.56;417.31;9080.0;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.14;-3.50;0.68;1.58;-0.13;5.21;0;1;1;0
XX/03/22;03:35:32;DESCENT;AIR;AIR;AIR;7924;7924.00;1013.0;4608;2627;21.75;-16.053.869;-48.150.223;265;230;152;177.12;0.400;-1187;0.99;-0.01;-0.01;20;110.39;8;-1.7;47355;0;-0.35;2.1;-0.46;-0.0;4.40;0.00;32.6;31.4;73.4;73.6;509;502;0;0;2847.13;1428.54;1418.59;424.56;417.31;9080.0;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.09;-3.50;-0.16;1.58;0.06;5.24;0;1;1;0
XX/03/22;03:35:33;DESCENT;AIR;AIR;AIR;7900;7900.00;1013.0;4584;2627;21.75;-16.052.650;-48.149.971;265;230;152;177.12;0.401;-1231;1.00;-0.01;-0.01;21;106.88;8;-2.0;47355;0;-0.70;2.1;-0.46;-0.0;4.04;0.00;32.6;31.5;73.4;73.6;509;503;0;0;2847.36;1428.66;1418.70;424.56;420.93;9080.0;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.09;-3.35;-0.16;1.92;-0.13;5.18;0;1;1;0
XX/03/22;03:35:34;DESCENT;AIR;AIR;AIR;7880;7880.00;1013.0;4564;2627;21.75;-16.051.687;-48.149.719;264;229;152;177.12;0.399;-1260;0.99;-0.00;-0.01;21;103.71;9;-2.3;47355;0;-0.70;2.3;-0.46;0.1;4.22;0.00;32.6;31.5;73.4;73.6;508;503;0;0;2847.60;1428.77;1418.82;424.56;420.93;9080.0;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.09;-3.35;0.51;1.92;0.25;5.24;0;1;1;0
XX/03/22;03:35:35;DESCENT;AIR;AIR;AIR;7860;7860.00;1013.0;4544;2627;21.75;-16.050.336;-48.149.467;264;230;152;177.12;0.400;-1240;1.01;-0.00;-0.01;21;102.30;9;-2.3;47355;0;0.35;2.5;-0.50;0.1;4.22;0.00;32.6;31.5;73.4;73.6;508;503;0;0;2847.83;1428.89;1418.94;424.56;420.93;9080.0;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.09;-3.45;0.51;1.18;0.13;5.21;0;1;1;0
XX/03/22;03:35:36;DESCENT;AIR;AIR;AIR;7840;7840.00;1013.0;4524;2627;21.75;-16.049.245;-48.149.216;264;230;152;177.12;0.399;-1227;1.01;-0.01;-0.02;21;100.90;10;-2.3;47355;0;0.70;2.5;-0.50;0.0;4.22;0.00;32.6;31.5;73.4;73.6;509;503;0;0;2848.06;1429.01;1419.05;424.56;417.31;9080.0;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.23;-3.45;0.79;1.18;0.06;5.21;0;1;1;0
XX/03/22;03:35:37;DESCENT;AIR;AIR;AIR;7820;7820.00;1013.0;4504;2627;21.75;-16.047.897;-48.148.964;264;230;152;177.12;0.399;-1218;0.99;-0.00;-0.01;21;100.55;10;-2.2;47355;0;0.35;2.3;-0.55;-0.1;4.22;0.00;32.6;31.5;73.4;73.6;509;503;0;0;2848.30;1429.13;1419.17;424.56;420.93;9080.0;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.23;-3.55;0.79;1.35;-0.06;5.21;0;1;1;0
