DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS;ELEVL;ELEVR;AILL;AILR;RUDD;PITCH_TRM
XX/07/21;12:32:18;APPROACH;AIR;AIR;AIR;5012;5012.00;1013.0;3276;2627;20.00;-22.909.072;-47.353.897;202;193;158;157.87;0.318;-1256;1.00;0.00;-0.00;108;107.93;9;-0.6;51964;5;-0.70;2.5;0.0;5.98;0.00;32.0;31.0;73.3;73.9;522;564;0;0;9062.34;4496.87;4565.46;468.11;468.11;10920.;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.80;-3.10;1.30;1.18;0.06;6.06
XX/07/21;12:32:19;APPROACH;AIR;AIR;AIR;4992;4992.00;1013.0;3256;2627;20.25;-22.909.233;-47.352.783;201;192;158;157.87;0.318;-1238;1.00;0.00;-0.00;108;107.23;9;-0.6;51964;5;-0.70;2.6;0.1;5.98;0.00;32.0;31.0;73.3;73.9;522;564;0;0;9062.60;4497.00;4565.59;468.11;468.11;10920.;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.70;-3.10;1.19;1.18;0.00;6.00
XX/07/21;12:32:20;APPROACH;AIR;AIR;AIR;4972;4972.00;1013.0;3236;2627;20.25;-22.909.393;-47.351.868;201;192;158;157.87;0.317;-1225;1.00;0.00;-0.00;108;107.23;9;-0.6;51964;5;-0.70;2.6;0.0;6.16;0.00;32.0;31.0;73.3;73.9;521;564;0;0;9062.86;4497.13;4565.72;471.74;468.11;10920.;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.70;-3.15;1.19;1.18;0.06;6.03
XX/07/21;12:32:21;APPROACH;AIR;AIR;AIR;4952;4952.00;1013.0;3216;2627;20.25;-22.909.553;-47.350.952;201;192;158;157.87;0.317;-1217;1.00;0.00;-0.00;108;107.23;9;-0.6;51964;5;-0.70;2.8;0.1;5.98;0.00;32.0;31.0;73.3;73.8;522;564;0;0;9063.12;4497.26;4565.85;471.74;468.11;10920.;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.80;-3.15;1.30;1.18;0.06;6.06
XX/07/21;12:32:22;APPROACH;AIR;AIR;AIR;4932;4932.00;1013.0;3196;2627;20.25;-22.909.711;-47.349.731;201;192;158;157.87;0.316;-1211;1.01;0.00;-0.00;108;107.23;8;-0.6;51964;5;-0.35;2.8;0.0;5.98;0.00;32.0;31.0;73.3;73.8;522;565;0;0;9063.38;4497.39;4565.98;471.74;471.74;10840.;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.80;-3.10;1.30;1.18;0.00;6.03
XX/07/21;12:32:23;APPROACH;AIR;AIR;AIR;4916;4916.00;1013.0;3180;2627;20.25;-22.909.872;-47.348.816;201;192;158;157.87;0.316;-1168;1.00;0.00;-0.00;108;106.88;8;-0.6;51964;5;-0.35;2.8;0.0;6.16;0.00;32.0;30.9;73.3;73.8;522;565;0;0;9063.64;4497.52;4566.11;471.74;468.11;10840.;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.85;-3.10;1.30;1.18;0.06;6.00
XX/07/21;12:32:24;APPROACH;AIR;AIR;AIR;4896;4896.00;1013.0;3160;2627;20.50;-22.910.030;-47.347.900;200;192;158;157.87;0.316;-1139;1.00;0.00;-0.00;108;107.23;8;-0.6;51964;5;-0.35;2.8;0.0;6.16;0.00;32.0;31.0;73.3;73.8;522;565;0;0;9063.90;4497.66;4566.24;471.74;468.11;10840.;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.85;-3.15;1.30;0.90;0.00;6.03
XX/07/21;12:32:25;APPROACH;AIR;AIR;AIR;4876;4876.00;1013.0;3140;2627;20.50;-22.910.188;-47.346.771;200;192;158;157.87;0.316;-1159;1.00;0.00;-0.00;108;107.23;8;-0.7;51964;5;-0.35;2.8;0.0;6.16;0.00;32.0;31.0;73.3;73.8;522;565;0;0;9064.16;4497.79;4566.38;471.74;471.74;10840.;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.85;-3.15;1.59;0.90;0.06;6.03
XX/07/21;12:32:26;APPROACH;AIR;AIR;AIR;4860;4860.00;1013.0;3124;2627;20.50;-22.910.347;-47.345.963;200;192;158;157.87;0.316;-1133;0.99;0.00;-0.00;108;107.58;8;-0.7;51964;5;-0.35;2.8;0.0;6.16;0.00;32.0;31.0;73.3;73.8;522;565;0;0;9064.42;4497.92;4566.50;471.74;468.11;10840.;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.85;-3.15;1.59;0.62;0.06;6.03
XX/07/21;12:32:27;APPROACH;AIR;AIR;AIR;4840;4840.00;1013.0;3104;2627;20.50;-22.910.505;-47.344.849;200;191;158;157.87;0.315;-1116;1.00;0.00;-0.00;108;107.93;8;-0.7;51964;5;-0.35;2.8;0.0;6.16;0.00;32.0;31.0;73.3;73.8;522;565;0;0;9064.68;4498.05;4566.64;471.74;471.74;10840.;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.85;-3.15;1.53;0.62;0.06;6.00
