DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS;ELEVL;ELEVR;AILL;AILR;RUDD;PITCH_TRM
XX/08/21;07:21:25;APPROACH;AIR;AIR;AIR;5016;5016.00;1013.0;4700;2629;24.25;-31.208.751;-60.228.470;232;208;159;153.10;0.343;-1342;1.00;0.01;0.01;15;109.69;17;-4.3;52943;1;0.35;2.6;0.0;6.33;0.00;32.1;31.3;73.8;74.3;531;573;0;0;7545.00;3748.38;3796.62;471.74;471.74;11480.;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.18;-3.50;3.40;-0.34;0.70;6.50
XX/08/21;07:21:26;APPROACH;AIR;AIR;AIR;4992;4992.00;1013.0;4676;2629;24.25;-31.199.598;-60.228.317;232;207;159;153.10;0.342;-1335;1.00;0.01;0.01;14;109.34;17;-4.2;52943;1;-0.70;2.6;0.0;6.33;0.00;32.1;31.3;73.8;74.3;532;573;0;0;7545.26;3748.51;3796.75;471.74;471.74;11480.;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.09;-3.50;2.27;-0.34;0.51;6.50
XX/08/21;07:21:27;APPROACH;AIR;AIR;AIR;4972;4972.00;1013.0;4656;2629;24.50;-31.187.396;-60.228.168;232;207;159;153.10;0.342;-1330;0.99;0.01;0.01;14;109.69;17;-4.1;52943;1;-1.05;2.8;0.1;6.33;0.00;32.1;31.3;73.8;74.3;532;573;0;0;7545.52;3748.64;3796.88;468.11;471.74;11480.;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.09;-3.35;2.27;0.56;0.44;6.56
XX/08/21;07:21:28;APPROACH;AIR;AIR;AIR;4952;4952.00;1013.0;4636;2629;24.50;-31.178.241;-60.228.016;231;207;159;153.10;0.342;-1287;1.01;0.01;0.01;14;109.69;17;-4.0;52943;1;-1.41;2.8;0.0;6.51;0.00;32.1;31.3;73.8;74.3;532;573;0;0;7545.78;3748.78;3797.01;471.74;471.74;11480.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.90;-3.35;1.64;0.56;0.32;6.38
XX/08/21;07:21:29;APPROACH;AIR;AIR;AIR;4928;4928.00;1013.0;4612;2629;24.50;-31.166.034;-60.227.871;231;207;159;153.10;0.342;-1298;1.00;0.00;0.01;14;110.04;17;-3.9;52943;1;-1.41;2.8;0.0;6.33;0.00;32.1;31.3;73.8;74.3;532;574;0;0;7546.05;3748.91;3797.14;468.11;471.74;11480.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.90;-3.00;1.64;1.18;0.25;6.29
XX/08/21;07:21:30;APPROACH;AIR;AIR;AIR;4908;4908.00;1013.0;4592;2629;24.50;-31.154.573;-60.227.726;231;207;159;153.10;0.341;-1305;0.99;0.00;0.00;14;110.39;17;-3.8;52943;1;-1.41;2.8;0.0;6.33;0.00;32.1;31.3;73.8;74.3;532;575;0;0;7546.31;3749.04;3797.27;475.37;475.37;11480.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.60;-3.00;0.91;1.18;0.32;6.32
XX/08/21;07:21:31;APPROACH;AIR;AIR;AIR;4888;4888.00;1013.0;4572;2629;24.50;-31.146.574;-60.227.581;231;207;159;153.10;0.341;-1270;1.01;0.00;0.00;14;110.74;16;-3.7;52943;1;-1.76;2.8;0.0;6.33;0.00;32.1;31.3;73.8;74.3;533;576;0;0;7546.58;3749.17;3797.41;475.37;478.99;11480.;3;AP ENGAGED;AT ENGAGED;0;0;-;-3.60;-3.10;0.91;1.86;0.13;6.29
XX/08/21;07:21:32;APPROACH;AIR;AIR;AIR;4868;4868.00;1013.0;4552;2629;24.50;-31.135.521;-60.227.436;231;207;159;153.10;0.341;-1247;1.01;0.00;0.00;13;111.09;16;-3.7;52943;1;-1.76;3.0;0.1;6.33;0.00;32.1;31.3;73.8;74.3;533;576;0;0;7546.84;3749.30;3797.54;475.37;478.99;11480.;30;AP ENGAGED;AT ENGAGED;0;0;-;-4.00;-3.10;0.91;1.86;0.13;6.32
XX/08/21;07:21:33;APPROACH;AIR;AIR;AIR;4844;4844.00;1013.0;4528;2629;24.50;-31.126.366;-60.227.299;231;206;159;153.10;0.340;-1271;0.95;-0.00;-0.00;13;111.45;16;-3.6;52943;1;-1.41;3.3;0.2;7.39;0.00;32.1;31.3;73.8;74.3;533;576;0;0;7547.10;3749.43;3797.67;475.37;475.37;11480.;37;AP ENGAGED;AT ENGAGED;0;0;-;-4.00;-3.80;0.91;1.35;0.00;6.35
XX/08/21;07:21:34;APPROACH;AIR;AIR;AIR;4824;4824.00;1013.0;4508;2629;24.75;-31.114.154;-60.227.158;230;206;159;153.10;0.340;-1287;1.00;-0.00;0.00;13;111.80;16;-3.6;52943;1;-0.70;3.7;0.3;7.56;0.00;32.1;31.3;73.8;74.1;533;576;0;0;7547.37;3749.57;3797.80;475.37;478.99;11480.;37;AP ENGAGED;AT ENGAGED;0;0;-;-4.32;-3.80;1.30;1.35;-0.06;6.32
