DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS;ELEVL;ELEVR;AILL;AILR;RUDD;PITCH_TRM
XX/08/21;11:22:58;APPROACH;AIR;AIR;AIR;8012;8012.00;1013.0;4812;2629;18.00;-15.836.093;-48.122.585;212;209;164;157.95;0.365;-900;0.97;0.00;0.01;142;108.63;28;2.1;55665;1;-0.70;3.9;-0.0;6.33;0.00;32.5;31.6;73.5;74.0;523;560;0;0;7100.70;3531.48;3569.22;428.19;428.19;9880.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.65;-3.05;1.87;0.67;0.44;6.21
XX/08/21;11:22:59;APPROACH;AIR;AIR;AIR;7996;7996.00;1013.0;4796;2629;17.75;-15.836.790;-48.121.838;212;208;164;157.95;0.362;-920;0.97;0.00;0.01;142;108.63;28;2.1;55665;1;-0.35;3.9;-0.0;6.51;0.00;32.5;31.6;73.5;74.0;523;560;0;0;7100.94;3531.60;3569.34;431.82;428.19;9880.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.65;-2.95;1.87;0.62;0.44;6.24
XX/08/21;11:23:00;APPROACH;AIR;AIR;AIR;7980;7980.00;1013.0;4780;2629;17.50;-15.837.485;-48.120.991;211;207;164;157.95;0.362;-933;0.98;0.01;0.01;142;108.63;27;2.1;55665;1;-0.35;3.9;-0.0;6.86;0.00;32.5;31.5;73.5;74.0;522;559;0;0;7101.17;3531.72;3569.45;428.19;424.56;9880.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.60;-2.95;1.81;0.62;0.44;6.21
XX/08/21;11:23:01;APPROACH;AIR;AIR;AIR;7964;7964.00;1013.0;4764;2629;17.25;-15.838.180;-48.120.144;211;207;164;157.95;0.361;-942;0.99;0.01;0.01;142;108.63;27;2.0;55665;1;-0.35;3.9;-0.0;6.86;0.00;32.5;31.5;73.5;74.0;522;559;0;0;7101.41;3531.84;3569.57;428.19;428.19;9880.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.60;-2.90;1.81;0.16;0.44;6.21
XX/08/21;11:23:02;APPROACH;AIR;AIR;AIR;7944;7944.00;1013.0;4744;2629;16.75;-15.838.874;-48.119.400;211;206;164;157.95;0.360;-988;0.98;0.01;0.01;142;108.28;26;2.1;55665;1;0.00;3.9;-0.0;6.68;0.00;32.5;31.5;73.5;74.0;521;558;0;0;7101.65;3531.96;3569.69;428.19;424.56;9880.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.65;-2.90;2.10;0.16;0.51;6.21
XX/08/21;11:23:03;APPROACH;AIR;AIR;AIR;7928;7928.00;1013.0;4728;2629;16.75;-15.839.485;-48.118.347;210;206;164;157.95;0.359;-1018;0.97;0.01;0.01;142;108.28;26;2.1;55665;1;0.00;3.7;-0.1;6.68;0.00;32.4;31.5;73.4;73.9;521;558;0;0;7101.89;3532.08;3569.81;428.19;428.19;9880.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.65;-3.00;2.10;0.05;0.51;6.24
XX/08/21;11:23:04;APPROACH;AIR;AIR;AIR;7908;7908.00;1013.0;4708;2629;16.50;-15.840.094;-48.117.569;210;206;164;157.95;0.358;-1038;0.98;0.02;0.01;142;107.93;26;2.1;55665;1;0.00;3.5;-0.1;6.86;0.00;32.5;31.5;73.4;73.9;522;559;0;0;7102.12;3532.19;3569.93;428.19;428.19;9880.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.85;-3.00;2.32;0.05;0.51;6.41
XX/08/21;11:23:05;APPROACH;AIR;AIR;AIR;7892;7892.00;1013.0;4692;2629;16.50;-15.840.703;-48.116.890;210;205;164;157.95;0.357;-1052;1.00;0.01;0.01;142;107.58;26;2.3;55665;1;0.35;3.7;0.1;6.86;0.00;32.4;31.5;73.4;73.9;522;560;0;0;7102.36;3532.31;3570.05;428.19;428.19;9880.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-3.85;-3.40;2.32;0.28;0.63;6.41
XX/08/21;11:23:06;APPROACH;AIR;AIR;AIR;7872;7872.00;1013.0;4672;2629;16.50;-15.841.312;-48.116.211;209;205;164;157.95;0.356;-1061;1.01;0.01;0.01;142;106.52;25;2.5;55665;1;0.00;3.9;0.1;6.86;0.00;32.4;31.5;73.4;73.9;522;560;0;0;7102.60;3532.43;3570.17;431.82;431.82;9880.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.00;-3.40;1.87;0.28;0.44;6.41
XX/08/21;11:23:07;APPROACH;AIR;AIR;AIR;7856;7856.00;1013.0;4656;2629;16.25;-15.841.577;-48.115.433;209;204;164;157.95;0.355;-1068;1.01;0.01;0.01;142;105.82;25;2.4;55665;1;-0.35;3.9;0.0;6.68;0.00;32.4;31.5;73.4;73.9;522;561;0;0;7102.84;3532.55;3570.29;431.82;431.82;9880.0;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.00;-3.50;1.87;0.45;0.44;6.38
