DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS;ELEVL;ELEVR;AILL;AILR;RUDD_PDL_FORCE;RUDD;PITCH_TRM
XX/06/21;05:13:44;DESCENT;AIR;AIR;AIR;5017;5034.00;1013.0;4779;2054;26.25;-31.771.088;-60.213.787;286;250;159;189.76;0.412;-1730;1.00;-0.01;-0.01;-34;0.00;0;-1.2;52998;0;0.35;1.6;0.0;4.75;-3.37;35.0;35.9;74.4;74.6;559;570;IDLE;IDLE;16413.1;8244.52;8168.65;1313.7;1350.2;5588.3;39;AP ENGAGED;AT ENGAGED;0;0;-;-4.50;-3.80;0.18;-0.46;-1233.00;-0.33;5.33
XX/06/21;05:13:45;DESCENT;AIR;AIR;AIR;4989;5007.00;1013.0;4751;2054;26.25;-31.761.932;-60.214.771;286;250;159;189.67;0.412;-1713;1.00;-0.00;-0.02;-34;-72.77;0;-1.2;52962;0;0.35;1.8;0.2;4.75;-3.29;35.0;35.8;76.2;74.6;558;569;IDLE;IDLE;16413.9;8244.89;8169.02;1313.7;1350.2;5588.3;39;AP ENGAGED;AT ENGAGED;0;0;-;-4.45;-3.75;0.23;-0.40;-1233.00;-0.33;5.36
XX/06/21;05:13:46;DESCENT;AIR;AIR;AIR;4962;4980.00;1013.0;4724;2054;26.25;-31.752.777;-60.215.839;286;250;159;189.67;0.412;-1693;0.99;-0.01;-0.01;-34;-180.0;0;-1.2;52962;0;0.35;1.8;0.0;4.57;-3.20;35.0;35.9;74.0;74.6;559;571;IDLE;IDLE;16414.6;8245.25;8169.40;1313.7;1356.2;5588.3;14;AP ENGAGED;AT ENGAGED;0;0;-;-4.50;-3.85;0.35;-0.34;-1233.00;-0.33;5.33
XX/06/21;05:13:47;DESCENT;AIR;AIR;AIR;4935;4953.00;1013.0;4697;2054;26.25;-31.743.622;-60.216.835;286;250;159;189.67;0.412;-1669;1.07;-0.00;-0.01;-34;-72.77;0;-1.2;52962;0;0.35;1.6;-0.1;3.87;-3.19;35.0;35.9;75.6;74.6;559;571;IDLE;IDLE;16415.4;8245.62;8169.78;1313.7;1356.2;5588.3;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.69;-3.45;0.53;-0.05;616.50;-0.33;5.30
XX/06/21;05:13:48;DESCENT;AIR;AIR;AIR;4909;4927.00;1013.0;4671;2054;26.25;-31.734.467;-60.217.754;286;250;159;189.67;0.410;-1643;0.99;-0.01;-0.02;-34;0.00;0;-1.2;52962;0;0.70;1.2;-0.3;3.87;-3.18;35.0;35.8;74.6;74.6;559;571;IDLE;IDLE;16416.1;8245.99;8170.15;1313.7;1356.2;5588.3;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.54;-3.70;0.47;0.00;-616.50;-0.39;5.30
XX/06/21;05:13:49;DESCENT;AIR;AIR;AIR;4884;4902.00;1013.0;4646;2054;26.25;-31.725.311;-60.218.739;286;250;159;189.67;0.410;-1605;0.99;-0.01;-0.02;-34;-72.77;0;-1.2;52962;0;0.70;1.2;-0.1;3.69;-3.15;35.0;35.9;74.4;74.6;559;571;IDLE;IDLE;16416.8;8246.35;8170.53;1307.6;1362.3;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.54;-3.70;0.12;-0.40;-1233.00;-0.39;5.30
XX/06/21;05:13:50;DESCENT;AIR;AIR;AIR;4859;4877.00;1013.0;4621;2054;26.25;-31.716.156;-60.219.654;286;250;159;189.67;0.410;-1571;0.98;-0.01;-0.02;-34;-180.0;0;-1.2;52962;0;1.05;1.2;-0.0;3.69;-3.13;35.0;35.8;76.0;74.6;559;571;IDLE;IDLE;16417.6;8246.71;8170.91;1313.7;1350.2;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.50;-3.75;-0.99;-1.40;-308.85;-0.39;5.30
XX/06/21;05:13:51;DESCENT;AIR;AIR;AIR;4834;4852.00;1013.0;4596;2054;26.50;-31.707.001;-60.220.650;286;250;159;189.67;0.410;-1547;0.97;-0.01;-0.02;-34;-72.77;0;-1.2;52962;0;2.11;1.2;-0.0;3.69;-3.17;35.0;35.8;73.7;74.5;559;571;IDLE;IDLE;16418.3;8247.08;8171.28;1313.7;1362.3;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.50;-3.75;-2.16;-2.56;-1233.00;-0.52;5.30
XX/06/21;05:13:52;DESCENT;AIR;AIR;AIR;4810;4828.00;1013.0;4572;2054;26.50;-31.697.845;-60.221.638;286;250;159;189.67;0.410;-1522;0.98;-0.01;-0.02;-34;0.00;0;-1.2;52962;0;3.87;1.2;-0.0;3.69;-3.21;35.0;35.8;76.1;74.6;559;571;IDLE;IDLE;16419.1;8247.44;8171.66;1313.7;1356.2;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.50;-3.75;-2.86;-3.21;616.50;-0.65;5.30
XX/06/21;05:13:53;DESCENT;AIR;AIR;AIR;4785;4803.00;1013.0;4547;2054;26.50;-31.688.690;-60.222.706;286;250;159;189.67;0.410;-1505;0.98;-0.02;-0.02;-33;-72.77;0;-1.3;52962;0;6.33;1.2;-0.0;3.69;-3.19;35.0;35.8;74.5;74.5;559;571;IDLE;IDLE;16419.8;8247.81;8172.04;1313.7;1362.3;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.54;-3.70;-3.09;-3.44;-0.60;-0.65;5.30
