DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;FD
XX/03/21;14:22:44;APPROACH;AIR;AIR;AIR;5024;5024.00;1013.0;3056;2627;24.00;-22.915.269;-47.266.998;183;165;156;146.70;0.272;-1633;0.99;0.00;0.02;152;315.00;1;0.0;50494;10;-7.38;2.1;-0.0;8.62;0.00;32.0;31.1;73.5;74.3;505;543;3448.82;1725.02;1723.80;457.22;453.59;14000.;1;AP ENGAGED;AT ENGAGED;FD1 ON
XX/03/21;14:22:45;APPROACH;AIR;AIR;AIR;4996;4996.00;1013.0;3028;2627;24.00;-22.915.876;-47.266.388;184;165;156;146.70;0.272;-1649;1.00;0.00;0.02;151;316.76;2;0.0;50494;10;-7.03;2.1;-0.0;8.97;0.00;32.0;31.1;73.6;74.3;505;543;3449.07;1725.14;1723.93;457.22;449.96;14000.;1;AP ENGAGED;AT ENGAGED;FD1 ON
XX/03/21;14:22:46;APPROACH;AIR;AIR;AIR;4968;4968.00;1013.0;3000;2627;24.00;-22.916.482;-47.265.774;184;166;156;146.70;0.274;-1659;1.00;-0.00;0.02;150;318.87;2;0.0;50494;10;-6.68;2.1;-0.0;8.79;0.00;32.0;31.1;73.6;74.3;505;543;3449.33;1725.27;1724.05;457.22;453.59;14000.;1;AP ENGAGED;AT ENGAGED;FD1 ON
XX/03/21;14:22:47;APPROACH;AIR;AIR;AIR;4940;4940.00;1013.0;2972;2627;24.25;-22.916.755;-47.265.152;184;166;156;146.70;0.274;-1666;1.00;0.00;0.02;150;315.35;2;-0.1;50494;10;-6.68;2.1;-0.0;8.62;0.00;32.0;31.1;73.6;74.3;505;543;3449.58;1725.40;1724.18;457.22;453.59;14000.;1;AP ENGAGED;AT ENGAGED;FD1 ON
XX/03/21;14:22:48;APPROACH;AIR;AIR;AIR;4912;4912.00;1013.0;2944;2627;24.25;-22.917.448;-47.264.523;185;167;156;146.70;0.275;-1671;1.01;0.00;0.02;150;305.16;2;-0.4;50494;10;-6.68;2.1;-0.0;8.44;0.00;32.0;31.1;73.6;74.3;506;543;3449.83;1725.53;1724.31;460.85;453.59;13920.;1;AP ENGAGED;AT ENGAGED;FD1 ON
XX/03/21;14:22:49;APPROACH;AIR;AIR;AIR;4884;4884.00;1013.0;2916;2627;24.25;-22.918.140;-47.263.794;185;168;156;146.70;0.277;-1674;1.00;0.01;0.02;149;294.26;2;-0.4;50494;10;-5.63;2.3;0.1;8.62;0.00;32.0;31.1;73.6;74.3;505;543;3450.09;1725.65;1724.43;457.22;453.59;13920.;1;AP ENGAGED;AT ENGAGED;FD1 ON
XX/03/21;14:22:50;APPROACH;AIR;AIR;AIR;4860;4860.00;1013.0;2892;2627;24.50;-22.918.830;-47.263.130;185;168;156;146.70;0.276;-1636;1.02;0.00;0.02;149;285.47;2;-0.4;50494;10;-5.27;2.3;0.0;8.62;0.00;32.0;31.1;73.6;74.3;505;543;3450.34;1725.78;1724.56;457.22;453.59;13920.;1;AP ENGAGED;AT ENGAGED;FD1 ON
XX/03/21;14:22:51;APPROACH;AIR;AIR;AIR;4832;4832.00;1013.0;2864;2627;24.50;-22.919.517;-47.262.463;186;169;156;146.70;0.278;-1611;1.03;0.00;0.02;148;278.44;2;-0.4;50494;10;-5.27;2.5;0.1;8.44;0.00;32.0;31.1;73.6;74.3;505;544;3450.59;1725.91;1724.69;460.85;457.22;13920.;1;AP ENGAGED;AT ENGAGED;FD1 ON
XX/03/21;14:22:52;APPROACH;AIR;AIR;AIR;4808;4808.00;1013.0;2840;2627;24.75;-22.919.822;-47.261.791;186;169;156;146.70;0.278;-1594;1.02;0.01;0.02;148;271.76;2;-0.4;50494;10;-5.27;2.5;0.0;8.27;0.00;32.0;31.1;73.6;74.3;506;544;3450.85;1726.04;1724.81;460.85;453.59;13920.;1;AP ENGAGED;AT ENGAGED;FD1 ON
XX/03/21;14:22:53;APPROACH;AIR;AIR;AIR;4780;4780.00;1013.0;2812;2627;24.75;-22.920.433;-47.261.028;186;169;156;146.70;0.279;-1583;0.99;0.01;0.01;147;266.48;2;-0.5;50494;10;-6.33;2.5;0.0;8.09;0.00;32.0;31.1;73.6;74.4;506;544;3451.10;1726.17;1724.94;464.48;457.22;13920.;1;AP ENGAGED;AT ENGAGED;FD1 ON
