DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;GPWS;GPWSM;TCAS
XX/02/20;17:54:01;APPROACH;AIR;AIR;AIR;5004;5075.00;1013.0;2919;2053;21.75;-22.909.317;-47.272.541;176;166;151;141.67;0.272;-800;1.01;0.01;0.04;-154;0.00;0;0.6;47464;10;-11.95;4.6;0.1;7.56;4.05;52.4;49.8;86.0;86.3;514;505;IDLE;IDLE;9887.81;4998.65;4889.16;1230.1;1110.4;5751.6;6;-;-;-;-
XX/02/20;17:54:02;APPROACH;AIR;AIR;AIR;4992;5063.00;1013.0;2907;2053;22.00;-22.910.156;-47.272.820;176;166;151;141.67;0.272;-774;1.02;0.01;0.04;-156;-72.77;0;0.6;47464;10;-12.30;4.6;0.0;7.38;3.95;52.4;49.8;88.4;86.3;514;506;IDLE;IDLE;9888.46;4998.99;4889.47;1230.1;1106.7;5697.2;6;-;-;-;-
XX/02/20;17:54:03;APPROACH;AIR;AIR;AIR;4980;5052.00;1013.0;2895;2053;22.00;-22.910.919;-47.273.090;176;165;151;141.67;0.272;-756;1.00;0.01;0.03;-157;-180.0;0;0.6;47464;10;-12.30;4.6;0.0;7.21;3.82;52.3;49.8;86.6;86.3;514;506;IDLE;IDLE;9889.11;4999.33;4889.78;1222.8;1110.4;5697.2;6;-;-;-;-
XX/02/20;17:54:04;APPROACH;AIR;AIR;AIR;4968;5040.00;1013.0;2883;2053;22.00;-22.911.682;-47.273.315;176;164;151;141.67;0.270;-744;0.98;0.01;0.03;-158;-72.77;0;0.6;47464;10;-13.01;4.4;-0.1;7.38;3.71;52.4;49.8;86.1;86.3;514;506;IDLE;IDLE;9889.76;4999.68;4890.08;1233.7;1110.4;5697.2;6;-;-;-;-
XX/02/20;17:54:05;APPROACH;AIR;AIR;AIR;4957;5028.00;1013.0;2872;2053;22.50;-22.912.521;-47.273.487;175;164;151;141.67;0.270;-726;0.98;0.01;0.03;-160;0.00;0;0.7;47464;10;-13.71;4.4;-0.0;7.38;3.55;52.3;49.8;87.9;86.3;514;506;IDLE;IDLE;9890.41;5000.02;4890.39;1226.5;1110.4;5697.2;6;-;-;-;-
XX/02/20;17:54:06;APPROACH;AIR;AIR;AIR;4944;5015.00;1013.0;2859;2053;22.25;-22.913.360;-47.273.605;175;164;151;141.67;0.270;-724;1.00;0.01;0.04;-161;-72.77;0;0.7;47464;10;-13.36;4.6;0.2;7.73;3.38;52.4;49.8;87.6;86.4;515;506;IDLE;IDLE;9891.06;5000.36;4890.70;1233.7;1117.6;5697.2;6;-;-;-;-
XX/02/20;17:54:07;APPROACH;AIR;AIR;AIR;4932;5004.00;1013.0;2847;2053;22.25;-22.914.199;-47.273.666;175;164;151;141.67;0.270;-733;1.01;0.00;0.04;-162;-180.0;0;0.6;47464;10;-13.36;4.7;0.3;7.91;3.24;52.4;49.8;85.9;86.4;515;506;IDLE;IDLE;9891.71;5000.70;4891.01;1233.7;1114.0;5697.2;6;-;-;-;-
XX/02/20;17:54:08;APPROACH;AIR;AIR;AIR;4919;4991.00;1013.0;2834;2053;22.25;-22.915.039;-47.273.663;175;166;151;141.67;0.272;-738;1.04;0.01;0.04;-163;-72.77;0;0.4;47464;10;-14.06;4.7;0.1;7.38;3.02;52.4;49.8;88.3;86.3;515;506;IDLE;IDLE;9892.37;5001.04;4891.32;1226.5;1114.0;5697.2;6;-;-;-;-
XX/02/20;17:54:09;APPROACH;AIR;AIR;AIR;4906;4978.00;1013.0;2821;2053;22.25;-22.915.802;-47.273.605;175;165;151;141.67;0.272;-752;1.00;0.02;0.03;-165;0.00;0;0.1;47464;10;-14.41;4.6;-0.1;7.21;2.86;52.5;49.8;87.9;86.4;515;507;IDLE;IDLE;9893.02;5001.39;4891.63;1237.4;1114.0;5697.2;6;-;-;-;-
XX/02/20;17:54:10;APPROACH;AIR;AIR;AIR;4894;4966.00;1013.0;2809;2053;22.50;-22.916.564;-47.273.499;175;165;151;141.67;0.272;-751;0.99;0.02;0.03;-166;-72.77;0;-0.1;47464;10;-14.77;4.4;-0.3;7.91;2.66;52.4;49.8;86.0;86.4;515;507;IDLE;IDLE;9893.67;5001.73;4891.94;1226.5;1114.0;5697.2;6;-;-;-;-
