DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;GPWS;GPWSM;TCAS
XX/03/19;07:21:03;APPROACH;AIR;AIR;AIR;5016;5016.00;1013.0;2960;2627;24.50;-22.913.614;-47.272.007;181;172;145;135.34;0.284;-1671;1.13;0.02;-0.02;156;174.02;9;-1.2;43654;10;-29.53;0.7;-0.0;7.21;0.00;73.8;74.3;533;570;-;-;2918.31;1458.71;1459.60;471.74;464.48;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:04;APPROACH;AIR;AIR;AIR;4988;4988.00;1013.0;2932;2627;24.50;-22.914.039;-47.271.393;181;171;145;135.34;0.283;-1674;1.13;0.02;-0.02;154;172.97;9;-1.4;43654;10;-29.53;0.7;-0.0;7.21;0.00;73.8;74.3;533;570;-;-;2918.57;1458.84;1459.73;471.74;468.11;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:06;APPROACH;AIR;AIR;AIR;4956;4956.00;1013.0;2900;2627;24.50;-22.914.732;-47.270.752;180;171;145;135.34;0.282;-1716;1.12;0.02;-0.02;150;171.91;9;-1.4;43654;10;-28.83;0.5;-0.1;7.03;0.00;73.8;74.3;533;570;-;-;2918.83;1458.97;1459.86;468.11;468.11;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:07;APPROACH;AIR;AIR;AIR;4928;4928.00;1013.0;2872;2627;24.50;-22.915.412;-47.270.088;180;171;145;135.34;0.283;-1743;1.04;0.01;-0.03;148;169.80;9;-1.2;43654;10;-27.07;0.0;-0.3;6.16;0.00;73.8;74.3;533;570;-;-;2919.09;1459.11;1459.99;471.74;468.11;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:08;APPROACH;AIR;AIR;AIR;4896;4896.00;1013.0;2840;2627;24.50;-22.916.084;-47.269.302;181;172;145;135.34;0.283;-1762;1.01;0.01;-0.04;145;164.53;9;-0.9;43654;10;-22.50;-0.5;-0.4;5.98;0.00;73.8;74.3;533;570;-;-;2919.35;1459.24;1460.12;471.74;464.48;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:09;APPROACH;AIR;AIR;AIR;4864;4864.00;1013.0;2808;2627;24.50;-22.916.740;-47.268.631;180;173;145;135.34;0.286;-1814;1.02;-0.01;-0.04;143;157.15;8;-0.4;43654;10;-18.63;-0.5;-0.1;6.16;0.00;73.6;74.3;532;570;-;-;2919.61;1459.37;1460.25;468.11;468.11;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:10;APPROACH;AIR;AIR;AIR;4836;4836.00;1013.0;2780;2627;24.50;-22.917.045;-47.267.944;180;172;145;135.34;0.283;-1810;1.05;-0.02;-0.04;142;149.41;8;-0.1;43654;10;-14.77;-0.2;0.2;6.16;0.00;73.8;74.3;532;570;-;-;2919.87;1459.50;1460.38;471.74;468.11;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:11;APPROACH;AIR;AIR;AIR;4804;4804.00;1013.0;2748;2627;24.75;-22.917.341;-47.266.941;181;172;145;135.34;0.284;-1806;1.05;-0.00;-0.04;141;143.44;8;-0.2;43654;10;-11.60;0.2;0.2;6.33;0.00;73.8;74.3;532;570;-;-;2920.14;1459.63;1460.51;471.74;468.11;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:12;APPROACH;AIR;AIR;AIR;4776;4776.00;1013.0;2720;2627;24.75;-22.917.934;-47.266.171;180;172;145;135.34;0.283;-1804;1.02;-0.01;-0.04;140;139.22;8;-0.3;43654;10;-8.44;0.2;0.0;5.80;0.00;73.8;74.3;532;570;-;-;2920.40;1459.76;1460.64;468.11;468.11;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:13;APPROACH;AIR;AIR;AIR;4748;4748.00;1013.0;2692;2627;25.00;-22.918.525;-47.265.495;180;172;145;135.34;0.282;-1763;1.01;-0.01;-0.04;140;136.05;8;-0.3;43654;10;-5.27;0.2;0.0;6.16;0.00;73.8;74.3;532;570;-;-;2920.66;1459.89;1460.77;471.74;468.11;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:14;APPROACH;AIR;AIR;AIR;4720;4720.00;1013.0;2664;2627;25.00;-22.919.107;-47.264.816;180;172;145;135.34;0.282;-1736;1.03;-0.01;-0.03;140;135.00;8;-0.4;43654;10;-3.52;0.4;0.1;6.68;0.00;73.8;74.3;532;570;-;-;2920.92;1460.02;1460.90;471.74;468.11;13960.;EXTENDED;0;WARNING;-;-
