DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;GPWS;GPWSM;TCAS
XX/04/19;05:13:11;APPROACH;AIR;AIR;AIR;5016;5016.00;1013.0;4744;2626;22.50;-30.566.776;-60.253.361;192;181;149;139.38;0.300;-1398;0.99;0.01;-0.03;15;66.80;16;-4.3;46085;10;0.35;1.1;0.0;4.92;0.00;73.3;74.0;525;560;-;-;8631.65;4283.72;4347.93;464.48;468.11;12920.;;0;WARNING;-;-
XX/04/19;05:13:12;APPROACH;AIR;AIR;AIR;4992;4992.00;1013.0;4720;2626;22.50;-30.559.719;-60.253.231;192;181;149;139.38;0.299;-1412;0.99;0.01;-0.03;15;66.45;16;-4.0;46085;10;0.70;1.1;0.0;4.92;0.00;73.3;74.0;525;559;-;-;8631.91;4283.85;4348.06;464.48;468.11;12920.;;0;WARNING;-;-
XX/04/19;05:13:13;APPROACH;AIR;AIR;AIR;4972;4972.00;1013.0;4700;2626;22.50;-30.551.524;-60.253.098;192;181;149;139.38;0.299;-1382;0.99;-0.00;-0.03;15;65.39;15;-3.6;46085;10;2.11;0.9;-0.1;4.92;0.00;73.1;74.0;525;560;-;-;8632.17;4283.98;4348.19;468.11;471.74;12920.;;0;WARNING;-;-
XX/04/19;05:13:14;APPROACH;AIR;AIR;AIR;4948;4948.00;1013.0;4676;2626;22.75;-30.543.327;-60.252.968;192;181;149;139.38;0.299;-1361;0.98;-0.01;-0.03;15;63.98;15;-3.2;46085;10;4.57;0.9;-0.0;4.92;0.00;73.3;74.0;526;560;-;-;8632.43;4284.11;4348.32;468.11;471.74;12920.;;0;WARNING;-;-
XX/04/19;05:13:15;APPROACH;AIR;AIR;AIR;4924;4924.00;1013.0;4652;2626;22.75;-30.535.135;-60.252.834;191;181;149;139.38;0.299;-1387;0.98;-0.01;-0.03;16;62.58;14;-3.0;46085;10;7.03;0.9;-0.0;4.92;0.00;73.3;74.0;525;560;-;-;8632.69;4284.24;4348.45;464.48;471.74;12920.;;0;WARNING;-;-
XX/04/19;05:13:16;APPROACH;AIR;AIR;AIR;4900;4900.00;1013.0;4628;2626;22.75;-30.523.138;-60.252.701;191;181;149;139.38;0.299;-1405;0.99;-0.02;-0.03;17;61.17;13;-2.7;46085;10;10.55;0.9;-0.0;5.10;0.00;73.3;74.0;526;560;-;-;8632.95;4284.37;4348.59;468.11;471.74;12920.;;0;WARNING;-;-
XX/04/19;05:13:17;APPROACH;AIR;AIR;AIR;4872;4872.00;1013.0;4600;2626;22.75;-30.514.936;-60.252.563;191;181;149;139.38;0.298;-1456;1.00;-0.01;-0.02;19;59.77;13;-2.6;46085;10;13.36;0.7;-0.1;5.10;0.00;73.3;74.0;526;560;-;-;8633.21;4284.50;4348.72;468.11;471.74;12920.;;0;WARNING;-;-
XX/04/19;05:13:18;APPROACH;AIR;AIR;AIR;4848;4848.00;1013.0;4576;2626;23.00;-30.507.910;-60.252.415;190;181;149;139.38;0.298;-1490;1.01;-0.02;-0.02;20;58.71;12;-2.5;46085;10;16.88;0.7;-0.0;5.28;0.00;73.3;74.0;526;560;-;-;8633.47;4284.63;4348.85;468.11;471.74;12920.;;0;WARNING;-;-
XX/04/19;05:13:19;APPROACH;AIR;AIR;AIR;4820;4820.00;1013.0;4548;2626;23.00;-30.497.880;-60.252.258;190;181;149;139.38;0.298;-1513;1.02;-0.01;-0.02;22;57.66;12;-2.4;46085;10;19.69;0.7;-0.0;5.45;0.00;73.3;74.0;526;560;-;-;8633.73;4284.76;4348.98;468.11;471.74;12920.;;0;WARNING;-;-
XX/04/19;05:13:20;APPROACH;AIR;AIR;AIR;4792;4792.00;1013.0;4520;2626;23.00;-30.490.625;-60.251.781;190;181;149;139.38;0.298;-1568;1.05;-0.01;-0.02;24;56.95;12;-2.3;46085;10;22.15;0.5;-0.1;5.80;0.00;73.3;74.0;526;560;-;-;8634.00;4284.89;4349.11;468.11;471.74;12920.;;0;WARNING;-;-
XX/04/19;05:13:21;APPROACH;AIR;AIR;AIR;4764;4764.00;1013.0;4492;2626;23.25;-30.483.441;-60.251.289;189;181;149;139.38;0.298;-1605;1.08;-0.01;-0.01;27;56.95;12;-2.5;46085;10;23.20;0.7;0.1;5.98;0.00;73.3;74.0;526;561;-;-;8634.26;4285.02;4349.24;471.74;475.37;12920.;;0;WARNING;-;-
XX/04/19;05:13:22;APPROACH;AIR;AIR;AIR;4736;4736.00;1013.0;4464;2626;23.25;-30.475.631;-60.250.778;189;181;149;139.38;0.297;-1630;1.09;-0.01;-0.01;30;57.66;12;-2.6;46085;10;24.61;0.7;0.0;6.33;0.00;73.3;74.0;526;561;-;-;8634.52;4285.15;4349.37;471.74;471.74;12920.;;0;WARNING;-;-
XX/04/19;05:13:23;APPROACH;AIR;AIR;AIR;4708;4708.00;1013.0;4436;2626;23.25;-30.467.398;-60.250.248;188;181;149;139.38;0.297;-1646;1.12;-0.01;-0.01;33;58.36;12;-2.4;46085;10;26.37;0.9;0.1;6.51;0.00;73.3;74.0;526;561;-;-;8634.78;4285.28;4349.50;471.74;475.37;12920.;;0;WARNING;-;-
XX/04/19;05:13:24;APPROACH;AIR;AIR;AIR;4680;4680.00;1013.0;4408;2626;23.50;-30.459.292;-60.250.465;188;181;149;139.38;0.298;-1657;1.13;-0.01;-0.01;36;58.36;12;-2.0;46085;10;28.83;1.1;0.1;6.51;0.00;73.3;74.0;526;561;-;-;8635.04;4285.41;4349.64;471.74;475.37;12920.;;0;WARNING;-;-
XX/04/19;05:13:25;APPROACH;AIR;AIR;AIR;4656;4656.00;1013.0;4384;2626;23.50;-30.451.660;-60.250.656;187;181;149;139.38;0.298;-1625;1.14;-0.01;-0.00;39;58.36;12;-2.0;46085;10;29.53;1.1;0.0;6.68;0.00;73.3;74.1;526;562;-;-;8635.31;4285.54;4349.77;471.74;478.99;12920.;;0;WARNING;-;-
XX/04/19;05:13:26;APPROACH;AIR;AIR;AIR;4628;4628.00;1013.0;4356;2626;23.50;-30.444.193;-60.250.526;187;181;149;139.38;0.297;-1604;1.14;-0.01;0.00;43;59.06;12;-2.1;46085;10;29.18;1.1;0.0;6.86;0.00;73.3;74.1;527;561;-;-;8635.57;4285.67;4349.90;475.37;478.99;12920.;;0;WARNING;-;-
XX/04/19;05:13:27;APPROACH;AIR;AIR;AIR;4600;4600.00;1013.0;4328;2626;23.75;-30.436.745;-60.250.374;186;181;149;139.38;0.297;-1629;1.16;-0.01;0.00;46;60.47;13;-2.1;46085;10;29.53;1.1;0.0;6.86;0.00;73.3;74.1;527;562;-;-;8635.84;4285.80;4350.03;475.37;478.99;12920.;;0;WARNING;-;-
XX/04/19;05:13:28;APPROACH;AIR;AIR;AIR;4576;4576.00;1013.0;4304;2626;23.75;-30.430.017;-60.250.198;186;181;149;139.38;0.297;-1606;1.15;-0.00;0.00;49;61.88;13;-2.0;46085;10;29.53;1.2;0.1;6.86;0.00;73.3;74.1;527;562;-;-;8636.10;4285.94;4350.17;471.74;475.37;12920.;;0;WARNING;-;-
XX/04/19;05:13:29;APPROACH;AIR;AIR;AIR;4552;4552.00;1013.0;4280;2626;23.75;-30.423.481;-60.249.550;185;181;149;139.38;0.296;-1551;1.15;-0.01;0.00;52;62.23;13;-1.8;46085;10;29.53;1.2;0.0;6.86;0.00;73.3;74.1;527;562;-;-;8636.37;4286.07;4350.30;471.74;478.99;12920.;;0;WARNING;-;-
XX/04/19;05:13:30;APPROACH;AIR;AIR;AIR;4528;4528.00;1013.0;4256;2626;24.00;-30.417.161;-60.249.001;184;181;149;139.38;0.296;-1515;1.14;-0.01;-0.00;56;62.58;13;-1.5;46085;10;29.53;1.2;0.0;6.68;0.00;73.3;74.1;527;562;-;-;8636.63;4286.20;4350.43;471.74;478.99;12920.;;0;WARNING;-;-
XX/04/19;05:13:31;APPROACH;AIR;AIR;AIR;4508;4508.00;1013.0;4236;2626;24.00;-30.410.237;-60.248.436;184;181;149;139.38;0.297;-1450;1.12;-0.01;-0.01;58;62.93;13;-1.3;46085;10;29.53;1.2;0.0;6.86;0.00;73.3;74.1;528;562;-;-;8636.89;4286.33;4350.56;478.99;478.99;12920.;;0;WARNING;-;-
XX/04/19;05:13:32;APPROACH;AIR;AIR;AIR;4480;4480.00;1013.0;4208;2626;24.00;-30.403.681;-60.247.860;183;181;149;139.38;0.296;-1447;1.13;-0.01;-0.02;62;62.58;14;-1.1;46085;10;29.53;1.2;0.0;6.68;0.00;73.3;74.1;528;562;-;-;8637.16;4286.46;4350.70;478.99;478.99;12920.;;0;WARNING;-;-
