DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;AP_EGD;GPWS;GPWSM;TCAS
XX/06/18;05:20:27;FINAL APPROACH;AIR;AIR;AIR;5019;5019.00;1013.0;3143;2054;20.75;-22.902.298;-47.256.401;203;183;138;120.59;0.302;-2483;2.50;0.01;-0.08;-165;-72.77;0;-1.6;40025;15;-27.07;-2.8;0.3;3.16;4.04;78.5;77.5;511;516;IDLE;IDLE;8787.30;4382.34;4404.96;791.07;820.10;5152.8;-;-;-;-
XX/06/18;05:20:28;FINAL APPROACH;AIR;AIR;AIR;4980;4980.00;1013.0;3104;2054;20.75;-22.903.289;-47.256.283;203;183;138;120.59;0.302;-2456;2.40;0.00;-0.09;-168;-180.0;0;-1.4;40025;15;-26.72;-2.6;0.1;2.64;3.94;76.1;77.4;510;516;IDLE;IDLE;8787.75;4382.56;4405.19;791.07;820.10;5152.8;-;-;-;-
XX/06/18;05:20:29;FINAL APPROACH;AIR;AIR;AIR;4945;4945.00;1013.0;3069;2054;20.75;-22.904.205;-47.256.165;203;183;138;120.59;0.302;-2378;2.30;-0.00;-0.10;-171;-72.77;0;-1.1;40025;15;-26.37;-2.6;0.0;2.99;3.83;77.0;77.5;510;516;IDLE;IDLE;8788.20;4382.78;4405.42;791.07;816.47;5152.8;AP2 EGD;-;-;-
XX/06/18;05:20:30;FINAL APPROACH;AIR;AIR;AIR;4911;4911.00;1013.0;3035;2054;20.75;-22.905.120;-47.256.046;203;183;138;120.59;0.302;-2276;2.45;-0.01;-0.09;-174;0.00;0;-0.9;40025;15;-26.02;-1.9;0.6;2.99;3.69;78.1;77.5;510;516;IDLE;IDLE;8788.65;4383.00;4405.65;791.07;823.72;5152.8;AP1+2 EGD;-;-;-
XX/06/18;05:20:31;FINAL APPROACH;AIR;AIR;AIR;4881;4881.00;1013.0;3005;2054;20.75;-22.905.960;-47.255.688;203;183;138;120.59;0.300;-2159;2.79;-0.01;-0.09;-177;-72.77;0;-1.0;40025;15;-24.61;-1.4;0.5;2.99;3.53;76.4;77.4;509;515;IDLE;IDLE;8789.09;4383.22;4405.87;791.07;816.47;5171.0;AP1+2 EGD;-;-;-
XX/06/18;05:20:32;FINAL APPROACH;AIR;AIR;AIR;4855;4855.00;1013.0;2979;2054;20.50;-22.906.875;-47.255.325;203;183;138;120.59;0.300;-2001;2.41;-0.01;-0.09;180;-180.0;0;-1.1;40025;15;-23.91;-0.7;0.7;2.81;3.39;78.4;77.4;509;515;IDLE;IDLE;8789.54;4383.44;4406.10;794.69;820.10;5171.0;AP1+2 EGD;-;-;-
XX/06/18;05:20:33;FINAL APPROACH;AIR;AIR;AIR;4831;4831.00;1013.0;2955;2054;20.25;-22.907.791;-47.254.967;202;182;138;120.59;0.300;-1835;2.34;-0.00;-0.10;178;-72.77;0;-1.2;40025;15;-23.91;-0.4;0.5;2.64;3.24;77.1;77.4;509;515;IDLE;IDLE;8789.99;4383.66;4406.33;791.07;820.10;5171.0;AP1+2 EGD;-;-;-
XX/06/18;05:20:34;FINAL APPROACH;AIR;AIR;AIR;4810;4810.00;1013.0;2934;2054;20.00;-22.908.630;-47.254.456;201;181;138;120.59;0.298;-1675;2.30;0.00;-0.10;175;0.00;0;-1.1;40025;15;-22.50;0.2;0.6;2.81;3.18;77.3;77.4;508;515;IDLE;IDLE;8790.44;4383.88;4406.56;791.07;827.35;5171.0;AP1+2 EGD;-;-;-
XX/06/18;05:20:35;FINAL APPROACH;AIR;AIR;AIR;4792;4792.00;1013.0;2916;2054;20.00;-22.909.469;-47.253.918;200;180;138;120.59;0.296;-1509;2.32;0.00;-0.09;173;-72.77;0;-1.0;40025;15;-21.80;0.7;0.5;2.81;3.10;78.3;77.4;508;514;IDLE;IDLE;8790.89;4384.10;4406.79;791.07;820.10;5171.0;AP1+2 EGD;-;-;-
XX/06/18;05:20:36;FINAL APPROACH;AIR;AIR;AIR;4777;4777.00;1013.0;2901;2054;19.75;-22.910.308;-47.253.464;199;179;138;120.59;0.294;-1337;2.28;0.00;-0.09;171;-180.0;0;-0.8;40025;15;-21.80;1.2;0.5;2.81;2.99;75.9;77.4;508;514;IDLE;IDLE;8791.34;4384.32;4407.02;791.07;827.35;5171.0;AP1+2 EGD;-;-;-
