DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS;ELEVL;ELEVR;AILL;AILR;RUDD_PDL_FORCE;RUDD;PITCH_TRM
XX/06/21;01:29:04;DESCENT;AIR;AIR;AIR;8014;8010.00;1013.0;4782;2055;16.50;-16.011.505;-48.067.093;228;200;158;150.02;0.348;-1055;0.98;-0.00;0.01;15;0.00;0;1.1;51220;1;0.00;3.9;0.0;6.86;-4.44;34.3;35.4;74.4;74.3;568;575;IDLE;IDLE;7253.71;3626.93;3626.78;1228.5;1271.1;4064.2;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.54;-3.60;0.35;-0.34;616.50;-0.33;6.51
XX/06/21;01:29:05;APPROACH;AIR;AIR;AIR;7996;7991.00;1013.0;4764;2055;16.50;-16.010.437;-48.067.093;228;200;158;150.02;0.348;-1053;0.99;-0.00;0.01;15;-72.77;0;1.0;51220;1;-0.35;3.9;0.0;6.68;-4.36;34.3;35.4;74.8;74.2;568;575;IDLE;IDLE;7254.41;3627.27;3627.14;1228.5;1271.1;4064.2;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.59;-3.45;0.47;-0.17;-1233.00;-0.33;6.51
XX/06/21;01:29:06;APPROACH;AIR;AIR;AIR;7979;7974.00;1013.0;4747;2055;16.75;-16.009.368;-48.067.089;228;199;158;150.02;0.346;-1052;0.98;0.00;0.01;15;-180.0;0;0.9;51220;1;-0.35;3.9;0.0;6.33;-4.20;34.3;35.3;73.2;74.2;568;575;IDLE;IDLE;7255.10;3627.61;3627.49;1228.5;1283.3;4064.2;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.59;-3.50;0.76;0.12;616.50;-0.33;6.51
XX/06/21;01:29:07;APPROACH;AIR;AIR;AIR;7962;7956.00;1013.0;4730;2055;16.75;-16.008.300;-48.067.085;227;199;158;150.02;0.346;-1041;0.99;0.00;0.01;15;-72.77;0;0.9;51220;1;-0.35;3.9;0.0;6.86;-4.16;34.3;35.4;75.2;74.2;569;576;IDLE;IDLE;7255.80;3627.95;3627.85;1234.6;1289.3;4064.2;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.54;-3.55;0.23;-0.46;-1233.00;-0.33;6.51
XX/06/21;01:29:08;APPROACH;AIR;AIR;AIR;7944;7939.00;1013.0;4712;2055;16.75;-16.007.232;-48.067.085;227;198;158;150.02;0.344;-1044;1.00;-0.00;0.01;15;0.00;0;0.9;51220;1;-0.35;3.9;0.0;6.50;-4.13;34.3;35.4;74.6;74.2;569;577;IDLE;IDLE;7256.50;3628.29;3628.21;1228.5;1289.3;4064.2;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.54;-3.50;0.53;-0.17;-1233.00;-0.33;6.51
XX/06/21;01:29:09;APPROACH;AIR;AIR;AIR;7927;7922.00;1013.0;4695;2055;16.75;-16.006.164;-48.067.738;227;198;158;150.02;0.344;-1046;1.01;-0.01;0.01;15;-72.77;0;0.8;51220;1;0.00;3.9;0.0;6.50;-3.99;34.3;35.4;73.8;74.2;570;578;IDLE;IDLE;7257.21;3628.64;3628.57;1234.6;1289.3;4064.2;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.40;-3.70;0.82;0.18;616.50;-0.33;6.51
XX/06/21;01:29:10;APPROACH;AIR;AIR;AIR;7911;7906.00;1013.0;4679;2055;16.75;-16.005.096;-48.068.398;226;197;158;150.02;0.344;-1028;1.01;0.01;0.01;15;-180.0;0;0.8;51220;1;0.00;4.0;0.2;6.50;-3.99;34.3;35.4;75.1;74.2;570;578;IDLE;IDLE;7257.91;3628.98;3628.93;1234.6;1289.3;4064.2;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.35;-3.80;0.64;0.06;-1233.00;-0.26;6.48
XX/06/21;01:29:11;APPROACH;AIR;AIR;AIR;7895;7890.00;1013.0;4663;2055;16.75;-16.004.028;-48.069.054;226;197;158;150.02;0.344;-1005;1.00;-0.00;0.01;15;-72.77;0;0.9;51220;1;0.00;4.0;0.0;6.50;-3.95;34.3;35.4;73.2;74.2;570;578;IDLE;IDLE;7258.61;3629.32;3629.28;1234.6;1289.3;4064.2;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.15;-4.05;0.58;-0.11;616.50;-0.33;6.51
XX/06/21;01:29:12;APPROACH;AIR;AIR;AIR;7880;7875.00;1013.0;4648;2055;16.75;-16.002.960;-48.069.714;225;197;158;156.54;0.342;-980;1.00;-0.00;0.01;15;0.00;0;0.9;51220;2;0.00;4.0;0.0;6.33;-3.80;34.3;35.4;75.5;74.2;570;579;IDLE;IDLE;7259.31;3629.67;3629.64;1234.6;1289.3;4064.2;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.00;-4.10;0.70;0.12;-1233.00;-0.39;6.48
XX/06/21;01:29:13;APPROACH;AIR;AIR;AIR;7866;7861.00;1013.0;4634;2055;16.75;-16.001.892;-48.070.370;225;196;158;156.54;0.340;-944;0.99;-0.00;0.01;15;-72.77;0;0.9;51220;2;0.35;4.0;0.0;6.33;-3.69;34.3;35.4;73.9;74.2;571;579;IDLE;IDLE;7260.01;3630.01;3630.00;1240.7;1295.4;4064.2;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.00;-4.15;0.70;0.12;-1233.00;-0.33;6.48
XX/06/21;01:29:14;APPROACH;AIR;AIR;AIR;7851;7846.00;1013.0;4619;2055;16.75;-16.000.824;-48.070.217;224;196;158;156.54;0.342;-920;1.00;-0.01;0.01;15;-180.0;0;0.9;51220;2;0.00;4.0;0.0;6.33;-3.46;34.2;35.4;74.3;74.2;571;579;IDLE;IDLE;7260.72;3630.36;3630.36;1240.7;1295.4;4064.2;2;AP ENGAGED;AT ENGAGED;0;0;-;-3.85;-4.25;0.53;-0.11;616.50;-0.45;6.51
XX/06/21;01:29:15;APPROACH;AIR;AIR;AIR;7836;7831.00;1013.0;4604;2055;16.75;-15.999.755;-48.070.061;224;195;158;156.54;0.340;-913;0.99;0.00;0.01;15;-72.77;0;0.8;51220;2;0.00;4.0;0.0;6.50;-3.35;34.2;35.4;74.9;74.2;571;580;IDLE;IDLE;7261.42;3630.70;3630.72;1240.7;1295.4;4064.2;2;AP ENGAGED;AT ENGAGED;0;0;-;-3.85;-4.25;0.58;0.00;1232.40;-0.33;6.51
XX/06/21;01:29:16;APPROACH;AIR;AIR;AIR;7821;7817.00;1013.0;4589;2055;16.75;-15.998.687;-48.069.908;223;195;158;156.54;0.338;-909;1.00;-0.00;0.01;15;0.00;0;0.8;51220;2;0.00;4.0;0.0;6.33;-3.02;34.3;35.4;74.0;74.3;571;580;IDLE;IDLE;7262.13;3631.05;3631.08;1240.7;1289.3;4064.2;2;AP ENGAGED;AT ENGAGED;0;0;-;-3.95;-4.15;0.64;0.00;-821.80;0.00;6.36
XX/06/21;01:29:17;APPROACH;AIR;AIR;AIR;7808;7803.00;1013.0;4576;2055;16.75;-15.997.619;-48.069.756;223;194;158;156.54;0.336;-886;1.01;0.00;0.00;15;-72.77;0;0.8;51220;2;0.00;4.0;0.0;6.33;-2.81;34.2;35.4;74.4;74.2;572;580;IDLE;IDLE;7262.83;3631.39;3631.44;1234.6;1295.4;4064.2;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.25;-3.90;0.47;-0.17;-1233.00;-0.33;6.18
XX/06/21;01:29:18;APPROACH;AIR;AIR;AIR;7794;7789.00;1013.0;4562;2055;16.75;-15.996.627;-48.069.603;222;193;158;156.54;0.336;-861;0.99;-0.00;0.00;15;-180.0;0;0.8;51220;2;-0.70;3.9;-0.2;5.98;-2.55;34.2;35.4;73.8;74.2;571;580;IDLE;IDLE;7263.53;3631.73;3631.80;1240.7;1301.5;4064.2;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.59;-3.45;0.00;-0.64;-1233.00;-0.45;6.06
XX/06/21;01:29:19;APPROACH;AIR;AIR;AIR;7781;7777.00;1013.0;4549;2055;16.75;-15.995.559;-48.069.450;222;193;158;156.54;0.336;-844;0.97;0.00;-0.00;15;-72.77;0;0.6;51220;2;-0.35;3.7;-0.2;5.98;-2.50;34.2;35.4;73.8;74.2;572;580;IDLE;IDLE;7264.24;3632.08;3632.16;1246.8;1295.4;4064.2;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.74;-3.31;0.88;0.29;616.50;0.13;6.06
XX/06/21;01:29:20;APPROACH;AIR;AIR;AIR;7767;7762.00;1013.0;4535;2055;16.75;-15.994.567;-48.069.302;221;192;158;156.54;0.334;-833;0.99;-0.00;-0.00;15;0.00;0;0.7;51220;5;0.35;3.7;0.1;5.98;-2.38;34.2;35.3;75.2;74.2;572;580;IDLE;IDLE;7264.94;3632.42;3632.52;1234.6;1283.3;4064.2;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.69;-3.41;0.88;0.29;-1233.00;-0.33;6.06
