DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS
XX/05/21;12:47:26;APPROACH;AIR;AIR;AIR;5005;5001.00;1013.0;4762;2053;24.75;-31.137.085;-60.237.934;246;218;160;154.29;0.360;-766;0.98;-0.00;-0.00;-2;-72.77;0;-4.6;53615;1;4.57;4.6;-0.0;6.86;-3.43;34.4;35.5;76.0;74.8;566;581;IDLE;IDLE;17469.9;8759.88;8710.09;1313.7;1368.4;6676.9;43;AP ENGAGED;AT ENGAGED;0;0;-
XX/05/21;12:47:27;APPROACH;AIR;AIR;AIR;4991;4988.00;1013.0;4748;2053;24.75;-31.126.404;-60.238.247;245;218;160;154.29;0.358;-770;0.98;-0.00;-0.00;-2;0.00;0;-4.7;53615;1;4.57;4.7;0.1;7.03;-3.40;34.4;35.4;73.7;74.8;567;582;IDLE;IDLE;17470.7;8760.24;8710.47;1319.7;1368.4;6676.9;43;AP ENGAGED;AT ENGAGED;0;0;-
XX/05/21;12:47:28;APPROACH;AIR;AIR;AIR;4978;4975.00;1013.0;4735;2053;24.75;-31.115.723;-60.238.560;244;217;160;154.29;0.358;-783;1.00;0.00;0.00;-1;-72.77;0;-4.8;53615;1;4.57;4.9;0.2;7.21;-3.35;34.4;35.5;75.2;74.8;567;582;IDLE;IDLE;17471.4;8760.61;8710.85;1319.7;1368.4;6676.9;43;AP ENGAGED;AT ENGAGED;0;0;-
XX/05/21;12:47:29;APPROACH;AIR;AIR;AIR;4965;4963.00;1013.0;4722;2053;24.75;-31.105.042;-60.238.998;243;216;160;154.29;0.356;-782;1.01;-0.00;0.00;-1;-180.0;0;-4.8;53615;1;4.57;5.1;0.2;7.21;-3.33;34.4;35.4;73.8;74.8;568;582;IDLE;IDLE;17472.2;8760.98;8711.23;1319.7;1368.4;6676.9;43;AP ENGAGED;AT ENGAGED;0;0;-
XX/05/21;12:47:30;APPROACH;AIR;AIR;AIR;4952;4949.00;1013.0;4709;2053;24.75;-31.094.360;-60.239.304;242;215;160;154.29;0.354;-782;1.01;0.00;0.01;0;-72.77;0;-4.8;53615;1;4.57;5.1;0.0;7.56;-3.29;34.4;35.4;75.1;74.8;568;582;IDLE;IDLE;17472.9;8761.34;8711.61;1319.7;1368.4;6676.9;43;AP ENGAGED;AT ENGAGED;0;0;-
XX/05/21;12:47:31;APPROACH;AIR;AIR;AIR;4940;4937.00;1013.0;4697;2053;24.75;-31.082.916;-60.239.609;241;215;160;154.29;0.354;-771;1.03;-0.00;0.01;0;0.00;0;-4.9;53615;1;4.57;5.6;0.4;7.91;-3.27;34.4;35.4;74.4;74.8;568;582;IDLE;IDLE;17473.7;8761.71;8711.99;1319.7;1374.5;6676.9;43;AP ENGAGED;AT ENGAGED;0;0;-
XX/05/21;12:47:32;APPROACH;AIR;AIR;AIR;4930;4927.00;1013.0;4687;2053;24.75;-31.072.235;-60.239.906;240;214;160;154.29;0.352;-734;1.05;0.00;0.01;0;-72.77;0;-5.0;53615;1;4.57;6.0;0.4;7.91;-3.24;34.4;35.4;74.5;74.8;568;583;IDLE;IDLE;17474.4;8762.07;8712.37;1319.7;1368.4;6676.9;43;AP ENGAGED;AT ENGAGED;0;0;-
XX/05/21;12:47:33;APPROACH;AIR;AIR;AIR;4921;4919.00;1013.0;4678;2053;24.75;-31.060.791;-60.240.341;239;213;160;154.29;0.350;-680;1.04;0.00;0.02;1;-180.0;0;-5.0;53615;1;4.22;6.3;0.4;7.91;-3.21;34.4;35.4;73.4;74.8;568;582;IDLE;IDLE;17475.1;8762.44;8712.75;1319.7;1368.4;6676.9;43;AP ENGAGED;AT ENGAGED;0;0;-
XX/05/21;12:47:34;APPROACH;AIR;AIR;AIR;4913;4911.00;1013.0;4670;2053;24.75;-31.050.110;-60.240.646;237;212;160;154.29;0.348;-624;1.04;0.00;0.02;1;-72.77;0;-5.0;53615;1;4.22;6.5;0.3;7.91;-3.19;34.3;35.4;74.9;74.8;569;583;IDLE;IDLE;17475.9;8762.81;8713.13;1319.7;1368.4;6676.9;43;AP ENGAGED;AT ENGAGED;0;0;-
XX/05/21;12:47:35;APPROACH;AIR;AIR;AIR;4907;4904.00;1013.0;4664;2053;24.75;-31.039.429;-60.240.955;236;211;160;154.29;0.346;-557;1.01;-0.00;0.01;1;0.00;0;-5.0;53615;1;4.22;6.5;0.1;7.73;-3.17;34.3;35.4;74.2;74.8;568;583;IDLE;IDLE;17476.6;8763.17;8713.51;1319.7;1368.4;6676.9;43;AP ENGAGED;AT ENGAGED;0;0;-
