DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;ROLL_CPT;PITCH;PITCH_CPT;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS;ELEVL;ELEVR;AILL;AILR;RUDD_PDL_FORCE;RUDD;PITCH_TRM;VHF_KEYING_L;VHF_KEYING_R;AP_OFF
XX/06/22;14:10:58;APPROACH;AIR;AIR;AIR;5027;5296.00;1013.0;3155;2055;22.00;-22.895.431;-47.278.194;185;177;164;155.89;0.292;-1720;1.05;0.02;0.01;-141;-180.0;0;0.6;56028;10;-18.98;3.24;2.6;6.49;0.0;9.32;4.48;34.3;34.5;75.8;74.4;588;602;IDLE;IDLE;7760.78;3884.12;3876.67;1319.7;1356.2;3810.2;4;AP ENGAGED;AT ENGAGED;0;0;-;-4.64;-3.36;1.05;-1.34;616.50;0.19;5.76;1;1;0
XX/06/22;14:10:59;APPROACH;AIR;AIR;AIR;4999;5267.00;1013.0;3127;2055;22.00;-22.896.270;-47.278.431;185;177;164;155.89;0.292;-1717;1.04;0.01;0.01;-142;-72.77;0;0.5;56028;10;-18.98;3.09;2.6;6.47;0.0;9.14;4.45;34.3;34.5;75.4;74.4;587;602;IDLE;IDLE;7761.53;3884.49;3877.04;1331.9;1356.2;3810.2;4;AP ENGAGED;AT ENGAGED;0;0;-;-4.59;-3.41;1.17;-1.22;1232.40;0.25;5.73;1;1;0
XX/06/22;14:11:00;APPROACH;AIR;AIR;AIR;4971;5239.00;1013.0;3099;2055;22.00;-22.897.110;-47.278.809;185;177;164;155.89;0.292;-1705;1.03;0.01;0.01;-144;0.00;0;0.4;56028;10;-18.63;2.94;2.5;6.42;-0.2;9.14;4.39;34.2;34.5;74.9;74.4;588;603;IDLE;IDLE;7762.28;3884.85;3877.42;1319.7;1368.4;3810.2;4;AP ENGAGED;AT ENGAGED;0;0;-;-4.54;-3.45;1.17;-1.16;1232.40;0.25;5.73;1;1;0
XX/06/22;14:11:01;APPROACH;AIR;AIR;AIR;4943;5211.00;1013.0;3071;2055;22.00;-22.897.872;-47.279.076;185;177;164;155.89;0.290;-1696;1.03;0.01;0.01;-146;-72.77;0;0.3;56028;10;-18.63;2.72;2.5;6.40;-0.0;9.14;4.32;34.3;34.5;74.5;74.4;588;602;IDLE;IDLE;7763.02;3885.22;3877.80;1325.8;1362.3;3810.2;4;AP ENGAGED;AT ENGAGED;0;0;-;-4.54;-3.50;1.23;-1.10;1232.40;0.25;5.73;1;1;0
XX/06/22;14:11:02;APPROACH;AIR;AIR;AIR;4914;5183.00;1013.0;3042;2055;22.25;-22.898.635;-47.279.205;185;177;164;155.89;0.290;-1701;1.02;0.01;0.01;-148;-180.0;0;0.1;56028;10;-18.28;2.43;2.5;6.40;-0.0;9.14;4.23;34.2;34.5;73.8;74.4;587;603;IDLE;IDLE;7763.77;3885.59;3878.18;1331.9;1362.3;3810.2;4;AP ENGAGED;AT ENGAGED;0;0;-;-4.50;-3.55;1.40;-0.87;-1233.00;0.32;5.73;1;1;0
XX/06/22;14:11:03;APPROACH;AIR;AIR;AIR;4886;5155.00;1013.0;3014;2055;22.25;-22.899.475;-47.279.392;185;176;164;155.89;0.290;-1704;1.02;0.01;0.01;-149;-72.77;0;0.0;56028;10;-18.28;2.43;2.3;6.40;-0.2;9.14;4.16;34.2;34.5;73.6;74.4;588;603;IDLE;IDLE;7764.52;3885.96;3878.56;1331.9;1362.3;3810.2;4;AP ENGAGED;AT ENGAGED;0;0;-;-4.45;-3.55;1.46;-0.87;616.50;0.25;5.73;1;1;0
XX/06/22;14:11:04;APPROACH;AIR;AIR;AIR;4857;5125.00;1013.0;2985;2055;22.25;-22.900.314;-47.279.457;185;177;164;155.89;0.290;-1706;1.02;0.01;0.01;-152;0.00;0;-0.2;56028;10;-18.28;2.43;2.3;6.40;-0.0;8.96;4.05;34.2;34.5;74.2;74.4;588;603;IDLE;IDLE;7765.27;3886.33;3878.94;1331.9;1374.5;3810.2;4;AP ENGAGED;AT ENGAGED;0;0;-;-4.50;-3.50;1.46;-0.87;-1233.00;0.32;5.73;1;1;0
XX/06/22;14:11:05;APPROACH;AIR;AIR;AIR;4828;5096.00;1013.0;2956;2055;22.25;-22.901.153;-47.279.400;185;177;164;155.89;0.290;-1717;1.02;0.02;0.01;-153;-72.77;0;-0.4;56028;10;-18.28;2.50;2.3;6.40;-0.0;9.14;3.95;34.2;34.5;74.5;74.4;587;603;IDLE;IDLE;7766.02;3886.70;3879.32;1331.9;1362.3;3810.2;4;AP ENGAGED;AT ENGAGED;0;0;-;-4.50;-3.50;1.46;-0.93;616.50;0.38;5.76;1;1;0
XX/06/22;14:11:06;APPROACH;AIR;AIR;AIR;4799;5067.00;1013.0;2927;2055;22.25;-22.901.992;-47.279.316;185;176;164;155.89;0.290;-1725;1.02;0.02;0.01;-155;-180.0;0;-0.6;56028;10;-18.28;2.43;2.1;6.40;-0.1;9.14;3.80;34.8;34.8;75.7;74.8;588;604;IDLE;IDLE;7766.78;3887.07;3879.71;1331.9;1417.1;3810.2;4;AP ENGAGED;AT ENGAGED;0;0;-;-4.54;-3.50;1.46;-0.87;1231.19;0.38;5.73;1;1;0
XX/06/22;14:11:07;APPROACH;AIR;AIR;AIR;4770;5038.00;1013.0;2898;2055;22.25;-22.902.832;-47.279.228;186;175;164;155.89;0.288;-1730;1.01;0.02;0.01;-156;-72.77;0;-0.7;56028;10;-17.93;1.47;2.1;6.32;-0.0;9.14;3.66;37.7;38.1;75.4;77.5;612;641;IDLE;IDLE;7767.73;3887.51;3880.21;1599.5;1800.2;3810.2;4;AP ENGAGED;AT ENGAGED;0;0;-;-4.45;-3.60;1.81;-0.52;-1233.00;0.44;5.76;1;1;0
