DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS;ELEVL;ELEVR;AILL;AILR;RUDD;PITCH_TRM
XX/06/21;01:28:06;APPROACH;AIR;AIR;AIR;8000;8000.00;1013.0;4808;2627;19.00;-15.959.290;-48.078.423;251;216;155;146.49;0.377;-558;0.95;0.00;-0.02;21;182.46;3;0.0;49242;1;-0.35;4.4;-0.1;5.45;0.00;32.5;31.6;73.4;74.0;503;549;0;0;3138.45;1561.92;1576.53;428.19;428.19;7840.0;33;AP ENGAGED;AT ENGAGED;0;0;-;-3.95;-3.30;1.30;1.24;0.06;5.62
XX/06/21;01:28:07;APPROACH;AIR;AIR;AIR;7988;7988.00;1013.0;4796;2627;18.75;-15.958.375;-48.078.171;250;215;155;146.49;0.375;-572;0.94;-0.01;-0.02;21;182.81;3;0.0;49242;1;-0.35;4.2;-0.1;5.63;0.00;32.4;31.6;73.4;74.0;504;549;0;0;3138.69;1562.04;1576.65;424.56;428.19;7840.0;33;AP ENGAGED;AT ENGAGED;0;0;-;-3.95;-3.15;1.30;1.52;0.00;5.62
XX/06/21;01:28:08;APPROACH;AIR;AIR;AIR;7972;7972.00;1013.0;4780;2627;18.75;-15.957.157;-48.077.927;249;214;155;146.49;0.374;-660;0.93;0.00;-0.02;21;182.46;3;-0.1;49242;1;-0.35;4.0;-0.1;5.80;0.00;32.5;31.6;73.4;74.1;504;549;0;0;3138.93;1562.16;1576.77;428.19;428.19;7840.0;33;AP ENGAGED;AT ENGAGED;0;0;-;-3.80;-3.15;1.08;1.52;0.13;5.62
XX/06/21;01:28:09;APPROACH;AIR;AIR;AIR;7960;7960.00;1013.0;4768;2627;18.75;-15.955.941;-48.077.682;248;214;155;146.49;0.373;-720;0.97;-0.00;-0.02;21;182.11;4;-0.1;49242;1;-0.35;4.0;-0.0;5.98;0.00;32.4;31.6;73.4;74.0;504;549;0;0;3139.17;1562.28;1576.89;424.56;424.56;7840.0;33;AP ENGAGED;AT ENGAGED;0;0;-;-3.80;-2.95;1.08;1.18;0.00;5.62
XX/06/21;01:28:10;APPROACH;AIR;AIR;AIR;7944;7944.00;1013.0;4752;2627;18.75;-15.954.720;-48.077.438;248;213;155;146.49;0.371;-759;0.97;0.00;-0.01;21;181.76;4;-0.1;49242;1;0.00;3.9;-0.1;5.98;0.00;32.4;31.5;73.4;74.0;504;550;0;0;3139.40;1562.40;1577.01;424.56;428.19;7840.0;33;AP ENGAGED;AT ENGAGED;0;0;-;-3.55;-2.95;1.08;1.18;0.06;5.65
XX/06/21;01:28:11;APPROACH;AIR;AIR;AIR;7928;7928.00;1013.0;4736;2627;18.75;-15.953.501;-48.077.194;247;212;155;146.49;0.370;-826;0.97;-0.01;-0.01;21;182.46;4;0.0;49242;1;-0.35;3.9;-0.0;6.33;0.00;32.4;31.6;73.4;74.0;505;551;0;0;3139.64;1562.51;1577.13;424.56;428.19;7840.0;33;AP ENGAGED;AT ENGAGED;0;0;-;-3.55;-2.75;1.08;1.75;0.06;5.62
XX/06/21;01:28:12;APPROACH;AIR;AIR;AIR;7908;7908.00;1013.0;4716;2627;18.75;-15.952.586;-48.076.950;246;211;155;146.49;0.367;-910;1.00;-0.00;-0.01;21;182.81;4;0.0;49242;1;-0.70;3.9;-0.0;6.33;0.00;32.4;31.5;73.4;74.0;506;552;0;0;3139.88;1562.63;1577.24;424.56;428.19;7840.0;33;AP ENGAGED;AT ENGAGED;0;0;-;-3.35;-2.75;0.96;1.75;-0.06;5.59
XX/06/21;01:28:13;APPROACH;AIR;AIR;AIR;7892;7892.00;1013.0;4700;2627;18.75;-15.951.367;-48.076.710;245;211;155;146.49;0.367;-966;1.00;-0.00;-0.01;21;181.76;4;-0.1;49242;1;-0.35;3.9;-0.0;6.33;0.00;32.4;31.6;73.4;74.0;507;552;0;0;3140.11;1562.75;1577.36;428.19;431.82;7840.0;33;AP ENGAGED;AT ENGAGED;0;0;-;-3.35;-2.80;0.96;1.52;0.06;5.68
XX/06/21;01:28:14;APPROACH;AIR;AIR;AIR;7876;7876.00;1013.0;4684;2627;18.75;-15.950.386;-48.076.469;245;210;155;146.49;0.365;-964;1.01;-0.00;-0.01;21;180.70;4;-0.1;49242;1;-0.35;4.0;0.1;6.33;0.00;32.4;31.5;73.4;74.0;508;553;0;0;3140.35;1562.87;1577.48;428.19;431.82;7840.0;33;AP ENGAGED;AT ENGAGED;0;0;-;-4.00;-2.80;0.85;1.52;0.19;5.85
XX/06/21;01:28:15;APPROACH;AIR;AIR;AIR;7864;7864.00;1013.0;4672;2627;18.75;-15.949.047;-48.076.233;244;209;155;146.49;0.364;-923;1.03;-0.00;-0.01;21;181.05;4;-0.1;49242;1;-0.35;4.4;0.2;6.68;0.00;32.4;31.6;73.4;74.0;508;554;0;0;3140.59;1562.99;1577.60;428.19;431.82;7840.0;33;AP ENGAGED;AT ENGAGED;0;0;-;-4.00;-3.35;0.85;1.58;0.06;5.85
