DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;FD
XX/05/21;03:28:15;DESCENT;AIR;AIR;AIR;8032;8032.00;1013.0;4820;2629;23.75;-15.993.076;-48.186.890;307;270;155;181.55;0.470;-2050;0.98;-0.00;-0.05;31;73.48;2;-0.2;49333;0;0.35;0.0;-0.0;3.17;0.00;33.4;32.8;73.5;74.4;482;529;3340.22;1660.37;1679.85;420.93;420.93;8880.0;33;AP ENGAGED;AT ENGAGED;FD1 ON
XX/05/21;03:28:16;DESCENT;AIR;AIR;AIR;7996;7996.00;1013.0;4784;2629;23.75;-15.991.278;-48.186.161;307;270;155;181.55;0.470;-2086;0.99;-0.01;-0.05;31;66.09;2;0.0;49333;0;0.00;0.0;-0.0;3.17;0.00;33.4;32.8;73.5;74.4;482;530;3340.45;1660.48;1679.97;417.31;420.93;8880.0;33;AP ENGAGED;AT ENGAGED;FD1 ON
XX/05/21;03:28:17;DESCENT;AIR;AIR;AIR;7960;7960.00;1013.0;4748;2629;23.75;-15.990.057;-48.185.432;307;270;155;181.55;0.469;-2110;0.98;-0.00;-0.05;31;60.82;1;-0.1;49333;0;-0.35;0.0;-0.0;3.17;0.00;33.4;32.8;73.5;74.4;482;530;3340.69;1660.60;1680.09;420.93;420.93;8880.0;33;AP ENGAGED;AT ENGAGED;FD1 ON
XX/05/21;03:28:18;DESCENT;AIR;AIR;AIR;7924;7924.00;1013.0;4712;2629;24.00;-15.988.532;-48.185.383;307;270;155;181.55;0.469;-2127;1.00;-0.01;-0.05;31;60.82;1;-0.2;49333;0;-0.35;0.2;0.1;3.17;0.00;33.4;32.8;73.5;74.4;483;530;3340.92;1660.72;1680.20;424.56;424.56;8880.0;33;AP ENGAGED;AT ENGAGED;FD1 ON
XX/05/21;03:28:19;DESCENT;AIR;AIR;AIR;7888;7888.00;1013.0;4676;2629;24.00;-15.987.311;-48.185.337;307;269;155;181.55;0.468;-2138;1.00;-0.00;-0.05;31;59.77;1;-0.2;49333;0;-0.35;0.2;0.0;3.17;0.00;33.4;32.8;73.5;74.4;483;530;3341.16;1660.83;1680.32;420.93;424.56;8880.0;33;AP ENGAGED;AT ENGAGED;FD1 ON
XX/05/21;03:28:20;DESCENT;AIR;AIR;AIR;7852;7852.00;1013.0;4640;2629;24.25;-15.985.920;-48.185.287;306;270;155;181.55;0.468;-2145;1.00;-0.01;-0.05;31;59.41;1;-0.2;49333;0;-0.35;0.2;0.0;3.17;0.00;33.4;32.6;73.5;74.4;483;530;3341.39;1660.95;1680.44;424.56;424.56;8880.0;33;AP ENGAGED;AT ENGAGED;FD1 ON
XX/05/21;03:28:21;DESCENT;AIR;AIR;AIR;7816;7816.00;1013.0;4604;2629;24.25;-15.984.531;-48.185.242;306;270;155;181.55;0.468;-2150;1.00;-0.01;-0.05;31;56.25;1;-0.2;49333;0;-0.35;0.4;0.1;2.99;0.00;33.4;32.6;73.5;74.4;484;530;3341.63;1661.07;1680.56;424.56;424.56;8880.0;33;AP ENGAGED;AT ENGAGED;FD1 ON
XX/05/21;03:28:22;DESCENT;AIR;AIR;AIR;7780;7780.00;1013.0;4568;2629;24.50;-15.983.005;-48.184.887;306;270;155;181.55;0.468;-2153;1.00;-0.00;-0.05;31;50.63;2;-0.2;49333;0;0.00;0.4;0.0;3.17;0.00;33.4;32.6;73.5;74.4;483;530;3341.86;1661.19;1680.68;420.93;424.56;8880.0;33;AP ENGAGED;AT ENGAGED;FD1 ON
XX/05/21;03:28:23;DESCENT;AIR;AIR;AIR;7744;7744.00;1013.0;4532;2629;24.50;-15.981.480;-48.184.158;306;271;155;181.55;0.470;-2156;1.01;-0.01;-0.05;31;46.05;2;-0.2;49333;0;0.00;0.4;0.0;3.17;0.00;33.4;32.8;73.5;74.4;483;531;3342.10;1661.31;1680.79;424.56;428.19;8880.0;33;AP ENGAGED;AT ENGAGED;FD1 ON
XX/05/21;03:28:24;DESCENT;AIR;AIR;AIR;7712;7712.00;1013.0;4500;2629;24.50;-15.979.954;-48.183.430;305;271;155;181.55;0.470;-2117;1.01;-0.00;-0.05;31;41.84;2;-0.3;49333;0;-0.35;0.4;0.0;3.17;0.00;33.4;32.8;73.5;74.4;484;531;3342.34;1661.42;1680.91;424.56;424.56;8880.0;33;AP ENGAGED;AT ENGAGED;FD1 ON
XX/05/21;03:28:25;DESCENT;AIR;AIR;AIR;7676;7676.00;1013.0;4464;2629;24.50;-15.978.599;-48.182.705;305;270;155;181.55;0.468;-2092;1.01;-0.00;-0.05;31;43.24;3;-0.4;49333;0;-0.35;0.4;0.0;3.34;0.00;33.4;32.8;73.5;74.4;484;531;3342.57;1661.54;1681.03;424.56;428.19;8880.0;33;AP ENGAGED;AT ENGAGED;FD1 ON
XX/05/21;03:28:26;DESCENT;AIR;AIR;AIR;7644;7644.00;1013.0;4432;2629;24.75;-15.977.208;-48.182.655;305;270;155;181.55;0.467;-2075;1.00;-0.01;-0.05;31;47.11;3;-0.4;49333;0;-0.35;0.5;0.1;3.34;0.00;33.4;32.8;73.5;74.4;484;531;3342.81;1661.66;1681.15;424.56;424.56;8880.0;33;AP ENGAGED;AT ENGAGED;FD1 ON
XX/05/21;03:28:27;DESCENT;AIR;AIR;AIR;7608;7608.00;1013.0;4396;2629;24.75;-15.975.853;-48.182.602;305;270;155;181.50;0.466;-2063;1.01;-0.00;-0.05;31;50.27;3;-0.4;49315;0;0.00;0.5;0.0;3.17;0.00;33.4;32.6;73.5;74.4;484;531;3343.05;1661.78;1681.27;428.19;428.19;8880.0;33;AP ENGAGED;AT ENGAGED;FD1 ON
XX/05/21;03:28:28;DESCENT;AIR;AIR;AIR;7576;7576.00;1013.0;4364;2629;24.75;-15.974.461;-48.182.549;304;271;155;181.50;0.468;-2056;1.00;-0.01;-0.05;31;53.44;3;-0.4;49315;0;0.00;0.5;0.0;3.34;0.00;33.4;32.6;73.5;74.4;484;531;3343.28;1661.90;1681.39;424.56;428.19;8880.0;33;AP ENGAGED;AT ENGAGED;FD1 ON
