DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;FD
XX/01/21;06:54:59;APPROACH;AIR;AIR;AIR;5012;5012.00;1013.0;4632;2627;24.25;-31.682.539;-60.275.875;222;212;160;154.26;0.350;-1193;0.98;0.00;0.00;32;68.20;15;-2.9;53597;1;-0.35;3.2;-0.0;6.51;0.00;32.1;31.3;73.6;74.3;521;564;7013.97;3484.14;3529.83;468.11;471.74;15000.;18;AP ENGAGED;AT ENGAGED;FD1 ON
XX/01/21;06:55:00;APPROACH;AIR;AIR;AIR;4992;4992.00;1013.0;4612;2627;24.25;-31.673.384;-60.275.265;221;211;160;154.26;0.349;-1195;0.98;0.00;0.00;32;68.91;15;-2.9;53597;1;-0.35;3.2;-0.0;6.51;0.00;32.1;31.3;73.6;74.3;520;564;7014.23;3484.27;3529.96;468.11;471.74;15000.;18;AP ENGAGED;AT ENGAGED;FD1 ON
XX/01/21;06:55:01;APPROACH;AIR;AIR;AIR;4972;4972.00;1013.0;4592;2627;24.25;-31.664.236;-60.274.654;221;211;160;154.26;0.349;-1197;0.98;-0.00;0.01;32;69.61;15;-2.8;53597;1;-0.35;3.0;-0.1;6.68;0.00;32.1;31.3;73.6;74.3;520;564;7014.49;3484.40;3530.09;468.11;471.74;15000.;18;AP ENGAGED;AT ENGAGED;FD1 ON
XX/01/21;06:55:02;APPROACH;AIR;AIR;AIR;4948;4948.00;1013.0;4568;2627;24.25;-31.653.159;-60.274.044;221;211;160;154.26;0.348;-1237;1.00;0.00;0.01;32;69.96;15;-2.8;53597;1;-0.35;3.2;0.1;6.68;0.00;32.1;31.3;73.6;74.3;520;564;7014.75;3484.53;3530.22;468.11;471.74;15000.;18;AP ENGAGED;AT ENGAGED;FD1 ON
XX/01/21;06:55:03;APPROACH;AIR;AIR;AIR;4928;4928.00;1013.0;4548;2627;24.25;-31.644.969;-60.273.434;221;211;160;154.26;0.348;-1265;0.99;0.00;0.01;32;70.66;15;-2.9;53597;1;-0.35;3.2;0.0;6.68;0.00;32.1;31.3;73.6;74.3;521;565;7015.01;3484.66;3530.35;468.11;471.74;15000.;18;AP ENGAGED;AT ENGAGED;FD1 ON
XX/01/21;06:55:04;APPROACH;AIR;AIR;AIR;4904;4904.00;1013.0;4524;2627;24.25;-31.636.782;-60.273.373;221;211;160;154.26;0.347;-1283;0.99;0.00;0.01;32;71.02;15;-2.9;53597;1;-0.35;3.2;0.0;6.86;0.00;32.1;31.3;73.6;74.3;521;564;7015.28;3484.79;3530.49;471.74;471.74;15000.;18;AP ENGAGED;AT ENGAGED;FD1 ON
XX/01/21;06:55:05;APPROACH;AIR;AIR;AIR;4884;4884.00;1013.0;4504;2627;24.25;-31.625.705;-60.273.312;220;211;160;154.26;0.347;-1295;0.99;0.00;0.01;32;71.37;15;-2.9;53597;1;-0.35;3.2;0.0;6.86;0.00;32.1;31.3;73.5;74.3;521;565;7015.54;3484.92;3530.62;468.11;471.74;15000.;15;AP ENGAGED;AT ENGAGED;FD1 ON
XX/01/21;06:55:06;APPROACH;AIR;AIR;AIR;4864;4864.00;1013.0;4484;2627;24.25;-31.617.513;-60.273.254;220;211;160;154.26;0.347;-1264;1.00;0.00;0.01;32;71.72;15;-2.9;53597;1;-0.35;3.2;0.0;6.86;0.00;32.1;31.3;73.5;74.1;521;565;7015.80;3485.05;3530.75;471.74;471.74;15000.;15;AP ENGAGED;AT ENGAGED;FD1 ON
XX/01/21;06:55:07;APPROACH;AIR;AIR;AIR;4840;4840.00;1013.0;4460;2627;24.50;-31.609.321;-60.273.193;220;211;160;154.16;0.347;-1282;1.01;0.00;0.01;32;71.72;15;-2.9;53542;1;0.00;3.3;0.1;7.03;0.00;32.1;31.3;73.5;74.1;521;565;7016.06;3485.18;3530.88;471.74;475.37;15000.;8;AP ENGAGED;AT ENGAGED;FD1 ON
XX/01/21;06:55:08;APPROACH;AIR;AIR;AIR;4824;4824.00;1013.0;4444;2627;24.50;-31.598.253;-60.272.831;220;211;160;154.16;0.347;-1255;1.02;0.00;0.01;32;71.37;15;-2.8;53542;1;0.00;3.3;0.0;6.68;0.00;32.1;31.3;73.5;74.3;521;566;7016.33;3485.31;3531.01;471.74;475.37;15000.;1;AP ENGAGED;AT ENGAGED;FD1 ON
