DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCH_CPT;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS;ELEVL;ELEVR;AILL;AILR;RUDD;PITCH_TRM;ROLL_CPT;VHF_KEYING_L;VHF_KEYING_R;AP_OFF
XX/08/22;05:19:17;DESCENT;AIR;AIR;AIR;5016;5016.00;1013.0;4736;2627;24.25;-31.208.837;-60.227.486;234;214;159;189.06;0.354;-763;0.86;0.00;0.02;19;90.35;17;-4.6;52689;0;1.05;3.3;-1.09;-0.5;4.75;0.00;47.6;46.6;83.1;81.9;512;506;0;0;10232.3;5117.15;5115.15;849.13;805.58;12320.;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.87;-3.75;2.66;0.56;0.44;5.56;0;1;1;0
XX/08/22;05:19:18;DESCENT;AIR;AIR;AIR;4996;4996.00;1013.0;4716;2627;24.25;-31.196.628;-60.227.295;234;213;159;189.06;0.351;-868;0.81;-0.00;0.02;19;90.35;18;-4.6;52689;0;0.35;3.0;-0.84;-0.3;4.92;0.00;41.6;42.6;80.9;80.6;505;505;0;0;10232.6;5117.34;5115.34;682.20;685.83;12320.;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.18;-3.75;1.93;0.56;0.13;5.47;0;1;1;0
XX/08/22;05:19:19;DESCENT;AIR;AIR;AIR;4972;4972.00;1013.0;4692;2627;24.25;-31.184.413;-60.227.100;234;212;159;189.06;0.350;-1017;0.90;0.01;0.01;19;91.76;18;-4.6;52689;0;0.35;2.8;-0.67;-0.2;5.45;0.00;38.3;41.8;79.1;80.6;502;513;0;0;10233.0;5117.50;5115.53;555.20;664.06;12320.;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.18;-3.25;1.93;0.05;0.76;5.38;0;1;1;0
XX/08/22;05:19:20;DESCENT;AIR;AIR;AIR;4948;4948.00;1013.0;4668;2627;24.25;-31.175.258;-60.226.910;234;217;159;189.06;0.358;-1157;0.91;-0.03;0.01;19;92.81;18;-4.2;52689;0;0.70;2.5;-0.50;-0.2;5.80;0.00;35.9;41.5;77.8;80.5;506;515;0;0;10233.3;5117.64;5115.70;500.77;645.92;12320.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.20;-3.25;0.85;0.05;-0.06;5.41;0;1;1;0
XX/08/22;05:19:21;DESCENT;AIR;AIR;AIR;4920;4920.00;1013.0;4640;2627;24.25;-31.163.042;-60.226.711;234;215;159;189.06;0.355;-1290;1.06;0.02;0.03;19;91.76;18;-4.4;52689;0;-0.35;2.5;0.08;-0.0;6.86;0.00;35.3;41.4;77.4;80.5;522;514;0;0;10233.6;5117.78;5115.88;511.65;635.03;12320.;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.20;-1.75;0.85;0.39;0.13;5.38;0;1;1;0
XX/08/22;05:19:22;DESCENT;AIR;AIR;AIR;4896;4896.00;1013.0;4616;2627;24.25;-31.153.886;-60.226.517;235;214;159;189.06;0.352;-1379;0.99;0.00;0.02;19;92.11;17;-4.1;52689;0;0.70;2.5;0.42;-0.0;6.68;0.00;35.0;41.3;77.4;80.3;529;513;0;0;10233.9;5117.92;5116.06;511.65;631.40;12320.;0;AP ENGAGED;AT ENGAGED;0;0;-;-2.55;-1.75;2.55;0.39;0.32;5.38;0;1;1;0
XX/08/22;05:19:23;DESCENT;AIR;AIR;AIR;4872;4872.00;1013.0;4592;2627;24.50;-31.141.672;-60.226.326;235;213;159;189.06;0.351;-1399;1.06;-0.01;0.03;18;94.22;17;-3.8;52689;0;1.05;3.0;0.17;0.3;8.09;0.00;34.4;38.8;76.8;78.8;524;496;0;0;10234.2;5118.05;5116.21;471.74;544.31;12320.;0;AP ENGAGED;AT ENGAGED;0;0;-;-2.55;-2.10;2.55;1.35;-0.25;5.38;0;0;1;0
XX/08/22;05:19:24;DESCENT;AIR;AIR;AIR;4848;4848.00;1013.0;4568;2627;24.50;-31.129.448;-60.226.135;235;214;159;189.06;0.352;-1413;1.04;-0.00;0.03;18;97.03;16;-3.8;52689;0;-0.35;3.0;0.33;0.1;7.21;0.00;32.9;35.9;75.1;76.6;511;486;0;0;10234.5;5118.17;5116.34;428.19;475.37;12320.;0;AP ENGAGED;AT ENGAGED;0;0;-;-2.50;-2.10;1.70;1.35;-0.13;5.38;0;0;1;0
XX/08/22;05:19:25;DESCENT;AIR;AIR;AIR;4824;4824.00;1013.0;4544;2627;24.50;-31.120.293;-60.225.941;236;214;159;189.06;0.352;-1422;1.00;0.00;0.02;18;98.44;16;-3.6;52689;0;0.00;2.8;0.33;-0.1;5.80;0.00;32.5;34.3;74.6;75.6;516;487;0;0;10234.7;5118.29;5116.47;435.45;453.59;12320.;0;AP ENGAGED;AT ENGAGED;0;0;-;-2.50;-2.15;1.70;-0.06;0.32;5.50;0;0;1;0
XX/08/22;05:19:26;DESCENT;AIR;AIR;AIR;4804;4804.00;1013.0;4524;2627;24.75;-31.108.072;-60.225.754;236;214;159;189.06;0.352;-1388;1.04;0.00;0.02;18;98.79;15;-3.3;52689;0;0.35;3.2;-0.09;0.2;6.51;0.00;32.6;34.4;74.5;75.8;523;500;0;0;10235.0;5118.42;5116.60;453.59;493.51;12320.;0;AP ENGAGED;AT ENGAGED;0;0;-;-2.95;-2.15;2.49;-0.06;0.13;5.59;0;1;1;0
