DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;ROLL_CPT;PITCH;PITCH_CPT;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS;ELEVL;ELEVR;AILL;AILR;RUDD_PDL_FORCE;RUDD;PITCH_TRM;VHF_KEYING_L;VHF_KEYING_R;AP_OFF
XX/05/22;07:24:37;APPROACH;AIR;AIR;AIR;5016;4957.00;1013.0;4700;2053;23.75;-31.336.975;-60.229.263;222;206;162;156.40;0.340;-1244;0.99;0.01;0.02;17;0.00;0;-4.3;54794;1;-0.35;2.94;4.7;6.68;0.0;8.79;-3.59;34.5;34.9;73.2;74.6;575;590;IDLE;IDLE;17502.3;8769.50;8732.82;1313.7;1368.4;5806.0;42;AP ENGAGED;AT ENGAGED;0;0;-;-4.94;-3.21;1.29;-1.04;-1233.00;0.51;5.79;1;1;0
XX/05/22;07:24:38;APPROACH;AIR;AIR;AIR;4995;4936.00;1013.0;4679;2053;23.75;-31.326.294;-60.229.088;222;206;162;156.40;0.340;-1239;0.99;0.00;0.02;17;-72.77;0;-4.3;54794;1;-0.35;3.31;4.7;6.68;0.0;8.79;-3.59;34.4;34.9;74.3;74.6;575;591;IDLE;IDLE;17503.0;8769.86;8733.20;1313.7;1362.3;5806.0;42;AP ENGAGED;AT ENGAGED;0;0;-;-5.04;-3.21;1.11;-1.16;616.50;0.44;5.79;1;1;0
XX/05/22;07:24:39;APPROACH;AIR;AIR;AIR;4976;4916.00;1013.0;4660;2053;23.75;-31.316.376;-60.228.912;221;205;162;156.40;0.338;-1226;0.99;0.01;0.02;17;-180.0;0;-4.3;54794;1;-0.35;3.31;4.7;6.70;0.0;8.79;-3.60;34.4;34.9;73.1;74.6;575;591;IDLE;IDLE;17503.8;8770.23;8733.58;1313.7;1362.3;5806.0;42;AP ENGAGED;AT ENGAGED;0;0;-;-4.94;-3.11;1.17;-1.16;-1233.00;0.51;5.79;1;1;0
XX/05/22;07:24:40;APPROACH;AIR;AIR;AIR;4956;4897.00;1013.0;4640;2053;24.00;-31.305.695;-60.228.737;221;205;162;156.40;0.338;-1208;0.99;0.01;0.02;17;-72.77;0;-4.3;54794;1;-0.35;3.02;4.7;6.74;0.0;8.79;-3.62;34.4;34.9;73.4;74.6;576;591;IDLE;IDLE;17504.5;8770.59;8733.96;1313.7;1362.3;5806.0;42;AP ENGAGED;AT ENGAGED;0;0;-;-5.09;-3.11;1.29;-1.04;616.50;0.51;5.79;1;1;0
XX/05/22;07:24:41;APPROACH;AIR;AIR;AIR;4936;4877.00;1013.0;4620;2053;24.00;-31.295.776;-60.228.561;220;204;162;156.40;0.336;-1205;0.98;0.01;0.02;17;0.00;0;-4.4;54794;1;-0.35;2.43;4.7;6.74;0.0;8.96;-3.63;34.4;34.9;73.2;74.6;575;592;IDLE;IDLE;17505.3;8770.96;8734.34;1319.7;1356.2;5806.0;42;AP ENGAGED;AT ENGAGED;0;0;-;-5.09;-3.06;1.46;-0.93;-1233.00;0.51;5.79;1;1;0
XX/05/22;07:24:42;APPROACH;AIR;AIR;AIR;4917;4858.00;1013.0;4601;2053;24.00;-31.285.095;-60.228.382;220;204;162;156.40;0.336;-1194;0.98;0.01;0.02;17;-72.77;0;-4.4;54794;1;-0.35;2.43;4.9;6.74;0.2;8.96;-3.63;34.4;34.9;73.7;74.6;576;591;IDLE;IDLE;17506.0;8771.33;8734.72;1319.7;1362.3;5806.0;42;AP ENGAGED;AT ENGAGED;0;0;-;-5.04;-3.11;1.46;-0.87;616.50;0.57;5.79;1;1;0
XX/05/22;07:24:43;APPROACH;AIR;AIR;AIR;4897;4839.00;1013.0;4581;2053;24.00;-31.275.177;-60.228.210;220;203;162;156.40;0.334;-1186;0.99;0.01;0.03;17;-180.0;0;-4.4;54794;1;-0.35;2.28;4.9;6.76;0.0;8.96;-3.65;34.4;34.9;74.8;74.6;577;592;IDLE;IDLE;17506.7;8771.70;8735.09;1325.8;1362.3;5806.0;42;AP ENGAGED;AT ENGAGED;0;0;-;-5.04;-3.01;1.46;-0.87;-1233.00;0.57;5.79;1;1;0
XX/05/22;07:24:44;APPROACH;AIR;AIR;AIR;4878;4819.00;1013.0;4562;2053;23.75;-31.264.496;-60.228.035;219;203;162;156.40;0.334;-1181;0.98;0.01;0.03;17;-72.77;0;-4.4;54794;1;0.00;1.84;4.9;6.78;0.0;8.96;-3.66;34.4;34.8;74.9;74.6;576;592;IDLE;IDLE;17507.5;8772.06;8735.47;1319.7;1362.3;5806.0;42;AP ENGAGED;AT ENGAGED;0;0;-;-5.09;-2.96;1.58;-0.75;616.50;0.57;5.79;1;1;0
XX/05/22;07:24:45;APPROACH;AIR;AIR;AIR;4859;4800.00;1013.0;4543;2053;23.75;-31.254.578;-60.227.859;219;202;162;156.40;0.332;-1167;0.99;0.00;0.03;17;0.00;0;-4.3;54794;1;0.00;1.47;4.9;6.76;0.0;9.14;-3.65;34.4;34.8;75.1;74.6;576;592;IDLE;IDLE;17508.2;8772.43;8735.86;1319.7;1374.5;5806.0;42;AP ENGAGED;AT ENGAGED;0;0;-;-5.14;-2.96;1.64;-0.69;-1233.00;0.57;5.79;1;1;0
XX/05/22;07:24:46;APPROACH;AIR;AIR;AIR;4839;4780.00;1013.0;4523;2053;23.75;-31.243.896;-60.227.688;218;202;162;156.40;0.332;-1168;0.99;0.01;0.03;17;-72.77;0;-4.2;54794;1;0.00;1.62;4.9;6.82;0.0;9.14;-3.67;34.4;34.9;74.8;74.6;576;592;IDLE;IDLE;17509.0;8772.80;8736.23;1325.8;1362.3;5806.0;42;AP ENGAGED;AT ENGAGED;0;0;-;-5.19;-2.96;1.64;-0.69;616.50;0.57;5.82;1;1;0
